id,pdb,smiles
08J,5TE8,Cc1ncc2n1-c3ccc(cc3C(=NC2)c4ccccc4F)Cl
08Y,3UA1,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5Cc6c7c(cccc7[nH]c6Br)C5=C4)C)O
1RD,4K9T,CC(C)c1nc(cs1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)NCCCCNC(=O)OCc2cncs2
2QH,4NY4,Cc1cc(ccc1OC)[C@]2(C3=NCC(CN3C(=N2)N)(F)F)c4ccc(c(c4)c5cccnc5)F
5AW,4K9U,C[C@@H](CC[C@H](C)NC(=O)OCc1cncs1)NC(=O)[C@@H](C(C)C)NC(=O)N(C)Cc2csc(n2)C(C)C
6AW,4K9V,CC[C@@H](CC[C@H](CC)NC(=O)OCc1cncs1)NC(=O)[C@H](CO)NC(=O)N(C)Cc2csc(n2)C(C)C
