id,smiles
1RD,CC(C)c1nc(cs1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)NCCCCNC(=O)OCc2cncs2
08J,Cc1ncc2n1-c3ccc(cc3C(=NC2)c4ccccc4F)Cl
