ligand,poses,n_donors_no3a,n_donors_with3a,mean_fragment_atoms,oracle,random_mean,frag_cons_selected,incumbent_selected,delta_frag_minus_incumbent,within_ligand_rho,crystal_percentile_on_feature,mean_transfer_distance_A
08J,20,471,587,6.762208067940552,0.4972299168975069,0.2823407202216066,0.15789473684210512,0.4806094182825478,-0.3227146814404427,0.7747273958932765,0.35,5.024178800885338
08Y,20,471,588,6.43312101910828,0.7524937655860349,0.703818578553616,0.7016832917705733,0.7016832917705733,0.0,-0.3578947368421052,0.95,10.562335795784197
1RD,20,49,138,7.387755102040816,0.4012875536480687,0.28258226037196,0.28469241773962783,0.24463519313304752,0.040057224606580316,0.1918014426726073,0.0,6.104579868608593
2QH,20,519,643,7.35645472061657,0.8982974910394265,0.7913530465949822,0.8700716845878135,0.8324372759856621,0.03763440860215139,-0.0007521625202847346,0.15,5.129500699878774
5AW,20,136,226,6.580882352941177,0.2163934426229508,0.1884016393442622,0.18770491803278708,0.18934426229508186,-0.001639344262294784,0.3818895115049558,0.0,5.591019960449023
6AW,20,135,226,7.481481481481482,0.8025735294117647,0.7594485294117647,0.7606617647058816,0.7698529411764716,-0.009191176470589979,0.09022556390977443,0.95,5.477732966034501
7AW,20,574,698,7.177700348432055,0.7503725782414308,0.6540238450074516,0.730253353204174,0.6080476900149037,0.12220566318927029,-0.7819548872180451,0.8,5.637926529685379
80K,20,523,652,6.227533460803059,0.888623326959847,0.5433795411089866,0.5191204588910134,0.6238049713193116,-0.10468451242829813,-0.17525386722634312,0.0,4.655226119193133
8AW,20,573,700,6.977312390924957,0.7881720430107526,0.7019623655913977,0.65483870967742,0.7096774193548393,-0.05483870967741933,0.41654135338345866,0.45,4.8002878472339
A1A06,20,524,652,7.049618320610687,0.8794117647058823,0.8256372549019609,0.8544117647058816,0.8534313725490185,0.0009803921568631857,-0.504138592677518,1.0,4.546804482447167
A1A07,20,524,652,7.036259541984733,0.7791750503018109,0.6973340040241449,0.7791750503018099,0.6750503018108651,0.10412474849094477,0.02784048944637039,0.55,4.536464901006859
A1A08,20,523,652,7.040152963671128,0.9126262626262628,0.8295202020202022,0.8449494949494958,0.8797979797979794,-0.034848484848483574,0.6661654135338345,0.6,4.46742935754487
A1A4K,20,522,650,7.17816091954023,0.552906976744186,0.4385465116279069,0.45348837209302323,0.40872093023255823,0.044767441860464996,-0.3383458646616541,0.0,4.58822084146327
A1A4S,20,522,651,7.503831417624521,0.7903726708074534,0.6319875776397517,0.7023809523809514,0.7903726708074523,-0.08799171842650089,-0.6054908288292112,0.35,5.174981433270193
A1A4T,20,523,652,8.116634799235182,0.5317307692307693,0.5039423076923077,0.4846153846153846,0.4846153846153846,0.0,-0.1263157894736842,1.0,7.407697159054743
A1A4U,20,522,651,7.153256704980843,0.8936058700209644,0.7515199161425578,0.8165618448637325,0.8647798742138373,-0.048218029350104774,-0.5761564905381066,1.0,4.828729234769996
A1A4V,20,522,650,7.17816091954023,0.7448694029850746,0.5420942164179104,0.437033582089552,0.5275186567164172,-0.09048507462686517,-0.01807912810485162,0.3,4.576767222651805
A1APA,20,576,703,7.034722222222222,0.7385245901639345,0.6731762295081966,0.7385245901639339,0.6266393442622944,0.11188524590163951,-0.2031603283924326,1.0,4.919926293535778
A1ASO,20,471,594,7.556263269639066,0.8379807692307693,0.6089182692307692,0.5124999999999996,0.6206730769230765,-0.10817307692307687,-0.13383458646616542,0.0,5.09861369064659
A1ASP,20,471,589,7.477707006369426,0.8152709359605911,0.6294642857142857,0.4889162561576361,0.8152709359605909,-0.32635467980295474,0.3233082706766917,0.0,4.933882713899996
A1ASQ,20,471,589,7.261146496815287,0.7443052391799544,0.6623291571753986,0.4823462414578581,0.5973804100227794,-0.11503416856492132,0.631578947368421,0.15,4.633271804888537
