ligand,sample,mean_rmsd_to_others,cluster_size,in_largest_cluster
A1A4K,pred.model_idx_6,7.865540407927252,1,False
A1A4K,pred.model_idx_7,9.760316990110148,1,False
A1A4K,pred.model_idx_8,8.891418175607898,1,False
A1A4K,pred.model_idx_9,8.601222515011456,1,False
A1A4T,pred.model_idx_0,9.033373457633237,1,True
A1A4T,pred.model_idx_1,9.82237792271826,1,False
A1A4T,pred.model_idx_2,10.90286229782963,1,False
A1A4T,pred.model_idx_3,8.423861240320665,1,False
A1A4T,pred.model_idx_4,10.974774441971796,1,False
A1A4T,pred.model_idx_5,10.978053880719132,1,False
A1A4T,pred.model_idx_6,8.399376731225251,1,False
A1A4T,pred.model_idx_7,10.272063192679603,1,False
A1A4T,pred.model_idx_8,9.403662704252707,1,False
A1A4T,pred.model_idx_9,8.91442128290368,1,False
A1A07,pred.model_idx_0,7.795010235291999,1,True
A1A07,pred.model_idx_1,6.75582965438628,1,False
A1A07,pred.model_idx_2,9.491336514352257,1,False
A1A07,pred.model_idx_3,6.96551401734431,1,False
A1A07,pred.model_idx_4,8.682200015492105,1,False
A1A07,pred.model_idx_5,8.490462584329785,1,False
A1A07,pred.model_idx_6,6.854817036406899,1,False
A1A07,pred.model_idx_7,8.412415222950601,1,False
A1A07,pred.model_idx_8,7.776464420956682,1,False
A1A07,pred.model_idx_9,6.885839539939489,1,False
A1A08,pred.model_idx_0,8.163863246570283,1,True
A1A08,pred.model_idx_1,7.444321771712749,1,False
A1A08,pred.model_idx_2,10.209199031155517,1,False
A1A08,pred.model_idx_3,7.342150053345439,1,False
A1A08,pred.model_idx_4,9.320704948464284,1,False
A1A08,pred.model_idx_5,8.967512139564686,1,False
A1A08,pred.model_idx_6,7.173128962153789,1,False
A1A08,pred.model_idx_7,8.791216027035956,1,False
A1A08,pred.model_idx_8,7.581145491594096,1,False
A1A08,pred.model_idx_9,7.405434683253485,1,False
A1A4U,pred.model_idx_0,8.216270111541862,1,True
A1A4U,pred.model_idx_1,7.427955642246388,1,False
A1A4U,pred.model_idx_2,10.201840116553987,1,False
A1A4U,pred.model_idx_3,7.881611593801381,1,False
A1A4U,pred.model_idx_4,9.461759266136125,1,False
A1A4U,pred.model_idx_5,9.360669989347988,1,False
A1A4U,pred.model_idx_6,7.404633094182543,1,False
A1A4U,pred.model_idx_7,9.332974180410845,1,False
A1A4U,pred.model_idx_8,8.133404874915747,1,False
A1A4U,pred.model_idx_9,7.567178902667812,1,False
A1APA,pred.model_idx_0,9.895952888630685,1,True
A1APA,pred.model_idx_1,11.653125090679618,1,False
A1APA,pred.model_idx_2,12.198954899606996,1,False
A1APA,pred.model_idx_3,9.137140166251967,1,False
A1APA,pred.model_idx_4,11.788042944399029,1,False
A1APA,pred.model_idx_5,12.120219038559675,1,False
A1APA,pred.model_idx_6,8.558636674675661,1,False
A1APA,pred.model_idx_7,10.859857279613266,1,False
A1APA,pred.model_idx_8,9.68973372850145,1,False
A1APA,pred.model_idx_9,9.743938034750142,1,False
A1A4V,pred.model_idx_0,8.089137699286898,1,True
A1A4V,pred.model_idx_1,8.88891283632005,1,False
A1A4V,pred.model_idx_2,10.499029628398524,1,False
A1A4V,pred.model_idx_3,7.97944611103615,1,False
A1A4V,pred.model_idx_4,10.195863334141537,1,False
A1A4V,pred.model_idx_5,10.508826737596074,1,False
A1A4V,pred.model_idx_6,7.76894098445704,1,False
A1A4V,pred.model_idx_7,9.570770471715413,1,False
A1A4V,pred.model_idx_8,8.263534184118596,1,False
A1A4V,pred.model_idx_9,8.342691904398972,1,False
A1A4S,pred.model_idx_0,7.772078408529203,1,True
A1A4S,pred.model_idx_1,8.885096642428582,1,False
A1A4S,pred.model_idx_2,11.2410314031553,1,False
A1A4S,pred.model_idx_3,8.197899831940369,1,False
A1A4S,pred.model_idx_4,10.798169461117505,1,False
A1A4S,pred.model_idx_5,10.956780086515861,1,False
A1A4S,pred.model_idx_6,7.481004679709945,1,False
A1A4S,pred.model_idx_7,9.499350906597325,1,False
A1A4S,pred.model_idx_8,8.895263800458446,1,False
A1A4S,pred.model_idx_9,8.391994541649025,1,False
A1ASP,pred.model_idx_0,7.476506067883848,1,True
A1ASP,pred.model_idx_1,6.008416337145999,1,False
A1ASP,pred.model_idx_2,8.601426661598286,1,False
A1ASP,pred.model_idx_3,6.403563379545468,1,False
A1ASP,pred.model_idx_4,7.96154447149335,1,False
A1ASP,pred.model_idx_5,7.978704720931256,1,False
A1ASP,pred.model_idx_6,6.206435501256984,1,False
A1ASP,pred.model_idx_7,7.180181187797405,1,False
A1ASP,pred.model_idx_8,7.152297648888423,1,False
A1ASP,pred.model_idx_9,6.118939124029463,1,False
A1ASO,pred.model_idx_0,7.726356812565389,1,True
A1ASO,pred.model_idx_1,7.166179904331141,1,False
A1ASO,pred.model_idx_2,9.803563513821395,1,False
A1ASO,pred.model_idx_3,7.351240455504148,1,False
A1ASO,pred.model_idx_4,9.614623109142368,1,False
A1ASO,pred.model_idx_5,9.290783913718304,1,False
A1ASO,pred.model_idx_6,6.513382628050447,1,False
A1ASO,pred.model_idx_7,8.071707725855534,1,False
A1ASO,pred.model_idx_8,7.563141028942373,1,False
A1ASO,pred.model_idx_9,7.036053642468051,1,False
A1ASQ,pred.model_idx_0,7.402934282218894,1,True
A1ASQ,pred.model_idx_1,6.252261499059347,1,False
A1ASQ,pred.model_idx_2,9.191204007554976,1,False
A1ASQ,pred.model_idx_3,6.363391700612968,1,False
A1ASQ,pred.model_idx_4,8.548392601991663,1,False
A1ASQ,pred.model_idx_5,8.412893424166045,1,False
A1ASQ,pred.model_idx_6,6.527238195524591,1,False
A1ASQ,pred.model_idx_7,7.417699199636617,1,False
A1ASQ,pred.model_idx_8,7.103250449223244,1,False
A1ASQ,pred.model_idx_9,6.7052154532067965,1,False
A1ASR,pred.model_idx_0,7.6083737294030875,1,True
A1ASR,pred.model_idx_1,6.179359259816433,1,False
A1ASR,pred.model_idx_2,8.749061087081007,1,False
A1ASR,pred.model_idx_3,6.320007602500446,1,False
