ligand,arm,file,rep,n_entities,n_query_copies,renumber_offset,renumber_identity,lddt_pli,bisy_rmsd,rot_deg,trans_a,conformer_a,raw_rmsd,pocket_ca_rmsd,n_fit,mapped,copy_chain,fe_dist,xeng,lddt_pli_bestmatch,bisy_bestmatch,same_copy_fe_and_best,inter_copy_min_dist,fg_bb_rmsd_to_crystal,n_fg_atoms,md5,second_fe_dist,second_peripheral_contacts,second_peripheral_residues,second_class
A1ASR,double,A1ASR__double__r1s0.cif,1,2,2,0,1.0,0.49683544303797467,3.7628634726638595,62.746806982434826,1.1883626616358658,1.46197871424824,3.7628634726638595,0.5306349085450376,50,True,M,2.1185033989914515,1.7640101097153678,0.49683544303797467,3.7628634726638595,True,2.474608477239381,0.7357228590352978,28,012b0315e0705b3031cad61f5624467d,5.5854945196113075,2,"212,213",active_site
A1ASR,double,A1ASR__double__r2s0.cif,2,2,2,0,1.0,0.49683544303797467,3.7628634726638595,62.746806982434826,1.1883626616358658,1.46197871424824,3.7628634726638595,0.5306349085450376,50,True,M,2.1185033989914515,1.7640101097153678,0.49683544303797467,3.7628634726638595,True,2.474608477239381,0.7357228590352978,28,012b0315e0705b3031cad61f5624467d,5.5854945196113075,2,"212,213",active_site
A1ASR,double,A1ASR__double__r3s0.cif,3,2,2,0,1.0,0.49683544303797467,3.7628634726638595,62.746806982434826,1.1883626616358658,1.46197871424824,3.7628634726638595,0.5306349085450376,50,True,M,2.1185033989914515,1.7640101097153678,0.49683544303797467,3.7628634726638595,True,2.474608477239381,0.7357228590352978,28,012b0315e0705b3031cad61f5624467d,5.5854945196113075,2,"212,213",active_site
A1ASR,decoy,A1ASR__decoy__r0s0.cif,0,2,1,0,1.0,0.6962025316455697,2.3274064755390516,38.82246499402968,1.4616726325620975,1.0934677845773444,2.3274064755390516,0.48576857374974436,50,True,L,2.120403715216402,0.9041134454439391,0.6962025316455697,2.3274064755390516,True,2.0379744538625277,0.6365150559957444,28,991b1040263663cdd24f1d559317b14a,5.471644204067265,0,,active_site
A1ASR,decoy,A1ASR__decoy__r1s0.cif,1,2,1,0,1.0,0.7683544303797468,1.9709065888193409,32.27424737245725,1.2053655382326716,1.06471443836403,1.9709065888193409,0.4360745585684068,50,True,L,2.1343099577246463,0.7098926033387437,0.7683544303797468,1.9709065888193409,True,3.2237730061380585,0.6589298697852943,28,14c418fb67196a1687d45b6458f3c5a5,6.361025926368684,0,,active_site
A1ASR,decoy,A1ASR__decoy__r2s0.cif,2,2,1,0,1.0,0.7683544303797468,1.9709065888193409,32.27424737245725,1.2053655382326716,1.06471443836403,1.9709065888193409,0.4360745585684068,50,True,L,2.1343099577246463,0.7098926033387437,0.7683544303797468,1.9709065888193409,True,3.2237730061380585,0.6589298697852943,28,14c418fb67196a1687d45b6458f3c5a5,6.361025926368684,0,,active_site
A1ASR,decoy,A1ASR__decoy__r3s0.cif,3,2,1,0,1.0,0.7683544303797468,1.9709065888193409,32.27424737245725,1.2053655382326716,1.06471443836403,1.9709065888193409,0.4360745585684068,50,True,L,2.1343099577246463,0.7098926033387437,0.7683544303797468,1.9709065888193409,True,3.2237730061380585,0.6589298697852943,28,14c418fb67196a1687d45b6458f3c5a5,6.361025926368684,0,,active_site
D7Y,single,D7Y__single__r0s0.cif,0,1,1,0,1.0,0.6252759381898455,2.99467384946437,34.447319381699984,1.5994957805989307,2.026292464930172,2.99467384946437,0.47492755272448484,52,True,L,2.138322835802199,0.9391432397538267,0.6252759381898455,2.99467384946437,True,,1.4557256516281332,28,da8a9b349877ae28234e78a190e3ac5e,,0,,none
D7Y,single,D7Y__single__r1s0.cif,1,1,1,0,1.0,0.7941501103752759,1.300367552986091,8.710308757648578,0.16781161446196155,1.215524680717128,1.300367552986091,0.29121199132292896,52,True,L,2.123222695893086,0.9060362630382157,0.7941501103752759,1.300367552986091,True,,0.3845142782572878,28,b6ef70e83edda2fa05f22153492eb71e,,0,,none
D7Y,single,D7Y__single__r2s0.cif,2,1,1,0,1.0,0.7941501103752759,1.300367552986091,8.710308757648578,0.16781161446196155,1.215524680717128,1.300367552986091,0.29121199132292896,52,True,L,2.123222695893086,0.9060362630382157,0.7941501103752759,1.300367552986091,True,,0.3845142782572878,28,b6ef70e83edda2fa05f22153492eb71e,,0,,none
D7Y,single,D7Y__single__r3s0.cif,3,1,1,0,1.0,0.7941501103752759,1.300367552986091,8.710308757648578,0.16781161446196155,1.215524680717128,1.300367552986091,0.29121199132292896,52,True,L,2.123222695893086,0.9060362630382157,0.7941501103752759,1.300367552986091,True,,0.3845142782572878,28,b6ef70e83edda2fa05f22153492eb71e,,0,,none
D7Y,double,D7Y__double__r0s0.cif,0,2,2,0,1.0,0.6186534216335541,2.7869633990912934,30.044579350977997,1.4937139203908085,1.923831377374373,2.7869633990912934,0.47678020109946573,52,True,M,2.1417693844193826,0.9416640351239925,0.6186534216335541,2.7869633990912934,True,2.541611942639987,1.5307606615356608,28,25198d42863675eb611afd41f5e111ad,9.562431618146055,1,220,active_site
D7Y,double,D7Y__double__r1s0.cif,1,2,2,0,1.0,0.6887417218543046,2.3164042584283018,23.381712541699848,1.2019340771362124,1.6144944474956262,2.3164042584283018,0.255927159117605,52,True,L,2.213660920035044,0.8943509616292984,0.6887417218543046,2.3164042584283018,True,2.7965122545645547,0.39679025675722374,28,f73fa11b892a14c5b8701f5546667c44,9.816847938860732,1,220,active_site
D7Y,double,D7Y__double__r2s0.cif,2,2,2,0,1.0,0.6887417218543046,2.3164042584283018,23.381712541699848,1.2019340771362124,1.6144944474956262,2.3164042584283018,0.255927159117605,52,True,L,2.213660920035044,0.8943509616292984,0.6887417218543046,2.3164042584283018,True,2.7965122545645547,0.39679025675722374,28,f73fa11b892a14c5b8701f5546667c44,9.816847938860732,1,220,active_site
D7Y,double,D7Y__double__r3s0.cif,3,2,2,0,1.0,0.6887417218543046,2.3164042584283018,23.381712541699848,1.2019340771362124,1.6144944474956262,2.3164042584283018,0.255927159117605,52,True,L,2.213660920035044,0.8943509616292984,0.6887417218543046,2.3164042584283018,True,2.7965122545645547,0.39679025675722374,28,f73fa11b892a14c5b8701f5546667c44,9.816847938860732,1,220,active_site
D7Y,decoy,D7Y__decoy__r0s0.cif,0,2,1,0,1.0,0.7632450331125827,1.4311603472285523,6.677693589999527,0.24431679360546352,1.3755806203306449,1.4311603472285523,0.32426832920395765,52,True,L,2.1565212293590945,0.9901606322829963,0.7632450331125827,1.4311603472285523,True,2.9923165769686086,0.4714284470409087,28,a94b896ab675bd766783cb398b2300c7,7.59754052612085,2,"212,213",active_site
D7Y,decoy,D7Y__decoy__r1s0.cif,1,2,1,0,1.0,0.6418322295805741,3.164389935121805,41.845833582840264,1.524164917887401,1.9360892485010834,3.164389935121805,0.28490356316088394,52,True,L,2.132062613731794,1.2118379971132718,0.6418322295805741,3.164389935121805,True,10.242174499672943,0.4155173260827194,28,a8495d8af1d2f9a36dc828c1c28fec9d,8.21659956198156,0,,active_site
D7Y,decoy,D7Y__decoy__r2s0.cif,2,2,1,0,1.0,0.6418322295805741,3.164389935121805,41.845833582840264,1.524164917887401,1.9360892485010834,3.164389935121805,0.28490356316088394,52,True,L,2.132062613731794,1.2118379971132718,0.6418322295805741,3.164389935121805,True,10.242174499672943,0.4155173260827194,28,a8495d8af1d2f9a36dc828c1c28fec9d,8.21659956198156,0,,active_site
D7Y,decoy,D7Y__decoy__r3s0.cif,3,2,1,0,1.0,0.6418322295805741,3.164389935121805,41.845833582840264,1.524164917887401,1.9360892485010834,3.164389935121805,0.28490356316088394,52,True,L,2.132062613731794,1.2118379971132718,0.6418322295805741,3.164389935121805,True,10.242174499672943,0.4155173260827194,28,a8495d8af1d2f9a36dc828c1c28fec9d,8.21659956198156,0,,active_site
MWS,single,MWS__single__r0s0.cif,0,1,1,0,1.0,0.7468916518650088,1.689136124078015,7.5890988304656455,0.5919155567884962,1.4788894272003534,1.689136124078015,0.3001013112977514,53,True,L,3.6989064087595893,0.7800654214583506,0.7468916518650088,1.689136124078015,True,,0.4201926484891295,28,cb6082ab78b8d2f51a78b47c39927fee,,0,,none
