ligand,sample,n_clashing,n_movable,n_backbone_clashing,heme_min,start_min,n_cleared,n_moved,n_uncleared,max_pert,sum_pert,final_min,solved,inter_sidechain_min,n_backbone
A1A4T,input_model_7,4,4,3,2.903154233325324,0.6026301190977621,2,0,2,0.0,0.0,0.6026301190977621,False,,3
A1A4T,input_model_8,5,5,3,2.9366446344060617,0.4934493749054981,3,1,2,10.0,10.0,0.4934493749054981,False,7.235508856873855,3
A1A4T,input_model_9,4,4,3,2.8401801864493876,0.4572086924133467,2,1,2,10.0,10.0,0.4572086924133467,False,,3
A1A4T,input_model_10,4,4,3,2.8583667279279377,0.5693915305859956,2,1,2,10.0,10.0,0.5693915305859956,False,,3
A1A4T,input_model_11,5,5,3,2.9218076813200535,0.5795851183865546,3,1,2,10.0,10.0,0.5795851183865546,False,7.355847263130196,3
A1A4T,input_model_12,4,4,3,2.9646724052540523,0.5739664147379101,2,0,2,0.0,0.0,0.5739664147379101,False,,3
A1A4T,input_model_13,4,4,3,2.9626437752761294,0.6093012303139764,2,1,2,10.0,10.0,0.6093012303139764,False,,3
A1A4T,input_model_14,4,4,3,2.9114840010125387,0.5049258065984842,2,0,2,0.0,0.0,0.5049258065984842,False,,3
A1A4T,input_model_15,4,4,3,2.9166425776414306,0.6253220958682286,2,0,2,0.0,0.0,0.6253220958682286,False,,3
A1A4T,input_model_16,4,4,3,2.88777061779399,0.6090431495390656,2,1,2,10.0,10.0,0.6090431495390656,False,,3
A1A4T,input_model_17,4,4,3,2.940413316736811,0.6436649443888001,2,1,2,10.0,10.0,0.6436649443888001,False,,3
A1A4T,input_model_18,4,4,3,2.8534528260993666,0.6464871315247489,2,0,2,0.0,0.0,0.6464871315247489,False,,3
A1A4T,input_model_19,4,4,3,2.9507673271417896,0.6986417806313006,3,1,1,30.0,30.0,0.6986417806313006,False,6.447554951408888,3
A1BNX,input_model_0,1,1,0,2.509639592712482,1.0465379123973455,0,0,1,0.0,0.0,1.0465379123973455,False,,0
A1BNX,input_model_1,1,1,0,2.4473444613785027,1.2451461383628053,1,1,0,60.0,60.0,2.2606363980642183,True,,0
A1BNX,input_model_2,1,1,0,2.4133869564552457,1.121208862001527,0,0,1,0.0,0.0,1.121208862001527,False,,0
A1BNX,input_model_3,1,1,0,2.4887062462137046,0.9629559647021698,0,0,1,0.0,0.0,0.9629559647021698,False,,0
A1BNX,input_model_4,1,1,0,2.4997455924297354,0.6812836150805095,0,0,1,0.0,0.0,0.6812836150805095,False,,0
A1BNX,input_model_5,1,1,0,2.4852737790937316,1.493205693112904,0,0,1,0.0,0.0,1.493205693112904,False,,0
A1BNX,input_model_6,1,1,0,2.497975390834624,1.6930678330853015,0,0,1,0.0,0.0,1.6930678330853015,False,,0
A1BNX,input_model_7,1,1,0,2.454691172228873,2.1050266476589363,0,0,1,0.0,0.0,2.1050266476589363,False,,0
A1BNX,input_model_8,1,1,0,2.5154031761368385,0.8431126054887561,0,0,1,0.0,0.0,0.8431126054887561,False,,0
A1BNX,input_model_9,1,1,0,2.555427726771097,0.8751667671625092,1,1,0,60.0,60.0,2.2635844222929515,True,,0
A1BNX,input_model_10,1,1,0,2.465332616128141,1.5126430315251909,1,1,0,40.0,40.0,2.396513106669723,True,,0
A1BNX,input_model_11,2,2,0,2.5190245035979553,1.931481503005848,2,2,0,10.0,20.0,2.2488081763006815,True,4.0611470183374445,0
A1BNX,input_model_12,1,1,0,2.4924171698380313,0.5087734305989862,0,0,1,0.0,0.0,0.5087734305989862,False,,0
A1BNX,input_model_13,1,1,0,2.5256042291963525,1.10608314525739,0,0,1,0.0,0.0,1.10608314525739,False,,0
A1BNX,input_model_14,2,2,0,2.5257090315007917,0.8379661076135003,1,1,1,10.0,10.0,0.8379661076135003,False,,0
A1BNX,input_model_15,1,1,0,2.502183790099764,0.9727900981258603,0,0,1,0.0,0.0,0.9727900981258603,False,,0
A1BNX,input_model_16,2,2,0,2.4777409292828034,1.6929932384251205,2,2,0,30.0,40.0,2.339926528774619,True,3.913663984401388,0
A1BNX,input_model_17,2,2,0,2.4852630969606015,1.839075020862221,2,2,0,110.0,120.0,2.252525949757448,True,4.0912499385746335,0
A1BNX,input_model_18,1,1,0,2.5277417315833945,1.7224941016662911,1,1,0,30.0,30.0,2.2649959510937547,True,,0
A1BNX,input_model_19,2,2,0,2.502044886858915,1.9439985121733299,2,2,0,20.0,30.0,2.2092843431675853,True,4.093977592171119,0
A1CIW,input_model_0,1,1,0,3.8994512638666627,1.417216303723248,1,1,0,40.0,40.0,2.2011569418477266,True,,0
A1CIW,input_model_1,3,3,0,3.8416802108072767,1.597333037434071,3,3,0,30.0,60.0,2.240192020464672,True,4.024797756093537,0
A1CIW,input_model_2,1,1,0,3.8044592490554976,1.3436820379130485,1,1,0,40.0,40.0,2.2446239632677836,True,,0
A1CIW,input_model_3,2,2,0,3.85929110198886,1.553280000692779,2,2,0,40.0,50.0,2.4154853194185226,True,4.061702655678638,0
A1CIW,input_model_4,3,3,0,3.967706300506685,1.5747200975352413,3,3,0,40.0,60.0,2.2784666527686355,True,4.264981545631576,0
A1CIW,input_model_5,2,2,0,3.8190953327695665,1.6387426037933408,2,2,0,30.0,40.0,2.304071271024665,True,3.688788438938579,0
A1CIW,input_model_6,3,3,0,3.790771117981013,1.5879597308981546,3,3,0,40.0,60.0,2.3932841930132707,True,4.059119650735571,0
A1CIW,input_model_7,2,2,0,3.8125495163372274,1.24230724219617,2,2,0,60.0,70.0,2.306788161121759,True,8.221758237431803,0
A1CIW,input_model_8,2,2,0,3.8363078366795076,1.2181649820844376,2,2,0,50.0,60.0,2.21251167492914,True,4.749951025385162,0
A1CIW,input_model_9,3,3,0,3.85778859063876,1.8584824248378247,3,3,0,20.0,50.0,2.355632551582055,True,4.154512458448125,0
A1CIW,input_model_10,3,3,0,3.9498022097226024,1.6446469967757193,3,3,0,20.0,40.0,2.26446667410152,True,3.9732304563500143,0
A1CIW,input_model_11,1,1,0,3.8921450211050925,1.308568529967888,1,1,0,50.0,50.0,2.361278909892072,True,,0
A1CIW,input_model_12,3,3,0,3.9195558534825685,1.116374560943991,3,3,0,30.0,70.0,2.2001635488142917,True,3.962040551576075,0
A1CIW,input_model_13,2,2,0,3.86775811201968,1.5856551722059984,2,2,0,20.0,40.0,2.320476404981581,True,6.444952260252057,0
A1CIW,input_model_14,2,2,0,3.851556177522325,1.0605714352601772,2,2,0,30.0,50.0,2.2609017964549936,True,8.379049297090278,0
A1CIW,input_model_15,1,1,0,3.8501589803564205,1.5525260829997032,1,1,0,40.0,40.0,2.4314206664977376,True,,0
A1CIW,input_model_16,1,1,0,3.8478645310818815,1.6141397653326455,1,1,0,30.0,30.0,2.2090660349282056,True,,0
A1CIW,input_model_17,1,1,0,3.9139411629419145,1.5969034739178876,1,1,0,30.0,30.0,2.23678529394075,True,,0
A1CIW,input_model_18,1,1,0,3.955835486082461,1.4575946042953563,1,1,0,40.0,40.0,2.3047929392573407,True,,0
A1CIW,input_model_19,2,2,0,3.849851495342081,1.3254616130034944,2,2,0,40.0,60.0,2.212741492018184,True,7.970444990717385,0
D0R,input_model_0,3,3,0,2.6771434404780914,0.9746811358791676,2,2,1,40.0,60.0,0.9746811358791676,False,7.4013994203868405,0
D0R,input_model_1,3,3,0,2.493406255247574,1.005087815297439,2,2,1,40.0,50.0,1.005087815297439,False,9.08119363112472,0
D0R,input_model_2,3,3,0,2.6254827882934317,1.3631071002679283,2,2,1,90.0,130.0,1.3631071002679283,False,7.896867047923815,0
D0R,input_model_3,3,3,0,2.578508730472548,1.003243426415236,2,2,1,40.0,70.0,1.217030811257875,False,6.905035334715934,0
D0R,input_model_4,2,2,0,2.63523842921323,1.604971681133417,2,2,0,30.0,40.0,2.2358799285444766,True,5.988696320928456,0
D0R,input_model_5,2,2,0,2.6206905920334607,1.3163330345506041,1,1,1,30.0,30.0,1.3163330345506041,False,,0
D0R,input_model_6,2,2,0,2.594370697962112,1.191217864474317,1,1,1,50.0,50.0,1.3202898887862362,False,,0
D0R,input_model_7,1,1,0,2.599858045854873,1.59175756245049,1,1,0,30.0,30.0,2.2443125340666925,True,,0
D0R,input_model_8,3,3,0,2.653409035320226,0.8684908900066368,2,2,1,50.0,100.0,0.8684908900066368,False,7.152121314824353,0
D0R,input_model_9,2,2,0,2.5585149329281105,1.317345245156834,1,1,1,40.0,40.0,1.3232688696359909,False,,0
D0R,input_model_10,2,2,0,2.6469474224159586,1.4191156076329925,1,1,1,20.0,20.0,1.4191156076329925,False,,0
D0R,input_model_11,2,2,0,2.552409550808207,1.5078182559438686,2,2,0,30.0,40.0,2.276252879492832,True,8.983092991831787,0
D0R,input_model_12,2,2,0,2.6180549479680884,1.1170122427956635,1,1,1,50.0,50.0,1.4942986658672388,False,,0
D0R,input_model_13,3,3,0,2.6239640471851295,1.1885157319078012,2,2,1,40.0,50.0,1.1885157319078012,False,5.5575822633912955,0
D0R,input_model_14,2,2,0,2.622058822254629,1.3647298407309678,1,1,1,40.0,40.0,1.519516332262282,False,,0
D0R,input_model_15,1,1,0,2.6301684488376065,1.5440274686618507,1,1,0,40.0,40.0,2.291706499756177,True,,0
D0R,input_model_16,2,2,0,2.6820058726836646,1.3513017608661448,1,1,1,30.0,30.0,1.3513017608661448,False,,0
D0R,input_model_17,3,3,0,2.616121378486923,1.1468405424838843,2,2,1,60.0,70.0,1.1468405424838843,False,10.277964124656544,0
D0R,input_model_18,2,2,0,2.562799854422219,1.1894608616276492,1,1,1,40.0,40.0,1.5268680795433687,False,,0
D0R,input_model_19,0,0,0,2.8654544805767816,2.3732623024288446,0,0,0,0.0,0.0,2.3732623024288446,True,,0
D81,input_model_0,1,1,0,2.8288840028530227,0.35098316400162444,1,1,0,70.0,70.0,2.2722717507563397,True,,0
D81,input_model_1,1,1,0,2.8621855429439687,0.8182706707834051,1,1,0,80.0,80.0,2.2451758037778866,True,,0
D81,input_model_2,2,2,0,2.891168851373139,0.71138061575594,2,2,0,60.0,80.0,2.2070798004578247,True,3.5785654136906446,0
D81,input_model_3,1,1,0,2.93497455637715,0.370056337964332,1,1,0,60.0,60.0,2.257702733824148,True,,0
D81,input_model_4,2,2,0,2.8221407199615696,0.697805729098068,2,2,0,60.0,70.0,2.2313421450686644,True,2.8673911948023956,0
D81,input_model_5,2,2,0,2.851469072655123,0.6352155906177872,2,2,0,70.0,80.0,2.269265209199059,True,3.774778658657302,0
D81,input_model_6,1,1,0,2.8068166667948393,0.247196010586053,1,1,0,70.0,70.0,2.3231840037670617,True,,0
D81,input_model_7,1,1,0,2.883578423163654,0.43717953850529456,1,1,0,60.0,60.0,2.284129776049445,True,,0
D81,input_model_8,1,1,0,2.8425913956508815,0.652759171350842,1,1,0,70.0,70.0,2.2170381988380665,True,,0
D81,input_model_9,1,1,0,2.862522238365673,0.6236197712023219,1,1,0,60.0,60.0,2.214742730526352,True,,0
D81,input_model_10,1,1,0,2.7260694006270896,0.26371065989825027,1,1,0,70.0,70.0,2.20105282892502,True,,0
D81,input_model_11,1,1,0,2.870098871285115,0.3900955251222527,1,1,0,80.0,80.0,2.3019378054103976,True,,0
D81,input_model_12,1,1,0,2.838533011766693,0.48404664098486533,1,1,0,80.0,80.0,2.350468905697942,True,,0
D81,input_model_13,1,1,0,2.8629487628289554,0.3657846024781853,1,1,0,60.0,60.0,2.27982972792721,True,,0
D81,input_model_14,1,1,0,2.7483835832944155,0.37555818192920626,1,1,0,90.0,90.0,2.279865407680676,True,,0
D81,input_model_15,1,1,0,2.85045641159029,0.6842732428277085,1,1,0,60.0,60.0,2.3045448273088143,True,,0
D81,input_model_16,2,2,0,2.833567146404214,0.24832371241104972,2,2,0,70.0,80.0,2.3091800443925186,True,3.2897737221836407,0
D81,input_model_17,1,1,0,2.7755702981774517,0.40180407717229927,1,1,0,80.0,80.0,2.228534676189538,True,,0
D81,input_model_18,1,1,0,2.807891887428865,0.3812113519898347,1,1,0,70.0,70.0,2.2766052057543327,True,,0
D81,input_model_19,1,1,0,2.913204134537684,0.4614072284696548,1,1,0,70.0,70.0,2.3308625512618244,True,,0
DJ1,input_model_0,1,1,0,2.626603680383953,2.1488105150879084,1,1,0,10.0,10.0,2.2830803413590326,True,,0
DJ1,input_model_1,1,1,0,2.7530783216317447,1.974091485955465,1,1,0,10.0,10.0,2.210142820569038,True,,0
DJ1,input_model_2,2,2,0,2.6794967846173354,1.4556931518209475,2,2,0,20.0,30.0,2.3059700548734687,True,10.557353693735399,0
DJ1,input_model_3,1,1,0,2.7049719880136696,1.41510486635415,1,1,0,20.0,20.0,2.229303874988578,True,,0
DJ1,input_model_4,2,2,0,2.706510325900931,1.9144995989039135,2,2,0,30.0,40.0,2.209175446596926,True,10.30402364462482,0
DJ1,input_model_5,2,2,0,2.7143419371760555,1.0081020273498484,2,2,0,20.0,30.0,2.2105650598092272,True,10.370624659191996,0
DJ1,input_model_6,2,2,0,2.6915874774195188,1.2914062978629075,2,2,0,20.0,30.0,2.262353732928913,True,10.860175426348041,0
DJ1,input_model_7,2,2,0,2.675114375518162,1.0855030032327557,2,2,0,20.0,30.0,2.2624416910203817,True,7.8958730166816835,0
DJ1,input_model_8,1,1,0,2.669314181733562,2.005924286262328,1,1,0,20.0,20.0,2.216220144648428,True,,0
DJ1,input_model_9,2,2,0,2.7358467719721165,1.1244486147616477,2,2,0,20.0,30.0,2.3091220507059123,True,10.437850530383004,0
DJ1,input_model_10,2,2,0,2.6821178595614095,1.3431878784370594,2,2,0,20.0,30.0,2.296823478637969,True,10.625174160532007,0
DJ1,input_model_11,2,2,0,2.711277736585333,0.8461759426206347,2,2,0,30.0,40.0,2.318645179757035,True,10.532840958149423,0
DJ1,input_model_12,1,1,0,2.710948425079296,2.181086936594686,1,1,0,10.0,10.0,2.236753014619696,True,,0
DJ1,input_model_13,2,2,0,2.656803882957205,1.3923795276421076,2,2,0,20.0,30.0,2.257392730621998,True,10.484891770770314,0
DJ1,input_model_14,1,1,0,2.6875988906471764,1.7078151682536435,1,1,0,20.0,20.0,2.2505302267022675,True,,0
DJ1,input_model_15,1,1,0,2.7158447351811787,0.8765468524800923,1,1,0,40.0,40.0,2.206046454680367,True,,0
DJ1,input_model_16,2,2,0,2.6356401686605624,1.7200115462178487,2,2,0,10.0,20.0,2.2907370361834376,True,10.545464881329892,0
DJ1,input_model_17,1,1,0,2.6345031980025855,2.164458607291873,1,1,0,10.0,10.0,2.305677476409775,True,,0
DJ1,input_model_18,2,2,0,2.6247508026015227,1.1955375051355996,2,2,0,20.0,30.0,2.2205018279060935,True,10.551395679595187,0
DJ1,input_model_19,2,2,0,2.7336275650576356,0.825652409009954,2,2,0,30.0,40.0,2.2185669378623247,True,10.319230096662494,0
ERY,input_model_0,5,5,4,3.259491886224127,0.2718843725311895,3,1,2,10.0,10.0,0.2718843725311895,False,4.785853400224088,4
ERY,input_model_1,5,5,4,3.3449754338743944,0.5625507798490872,3,2,2,10.0,20.0,0.5625507798490872,False,5.428166715338902,4
ERY,input_model_2,5,5,4,3.2972233053749407,0.5948472443140397,3,2,2,10.0,20.0,0.5948472443140397,False,4.343598013884042,4
ERY,input_model_3,5,5,4,3.4100415562807287,0.5888815412075088,3,1,2,10.0,10.0,0.5888815412075088,False,7.2238944100671905,4
ERY,input_model_4,4,4,4,3.237814780904253,0.4137821605381338,3,2,1,60.0,70.0,0.4137821605381338,False,3.955095245047569,4
ERY,input_model_5,4,4,4,3.198824775410037,0.2701930783360683,2,1,2,10.0,10.0,0.2701930783360683,False,7.322775519002341,4
ERY,input_model_6,5,5,4,3.2787439116037915,0.420073740031757,3,2,2,10.0,20.0,0.420073740031757,False,5.416582008947817,4
ERY,input_model_7,5,5,4,3.227327860994593,0.5433692096144557,3,1,2,10.0,10.0,0.5433692096144557,False,5.477920691870017,4
ERY,input_model_8,5,5,4,3.351905792800117,0.6709697792608869,3,2,2,10.0,20.0,0.6709697792608869,False,5.585954755030887,4
ERY,input_model_9,5,5,4,3.2057731502202738,0.5784328884918625,3,2,2,10.0,20.0,0.5784328884918625,False,5.594460495023748,4
ERY,input_model_10,7,7,4,3.2496676396582114,0.5513800124304383,4,3,3,10.0,30.0,0.5513800124304383,False,5.815531800757162,4
ERY,input_model_11,4,4,4,3.361723290648282,0.19045219973048438,2,0,2,0.0,0.0,0.19045219973048438,False,7.093518784383391,4
ERY,input_model_12,5,5,4,3.282599100204042,0.5319051097752019,3,1,2,10.0,10.0,0.5319051097752019,False,5.585082476887114,4
ERY,input_model_13,4,4,4,3.311644796397496,0.4912016862665591,2,0,2,0.0,0.0,0.4912016862665591,False,7.413539631579507,4
ERY,input_model_14,4,4,4,3.3258317205877317,0.37130519272031043,2,0,2,0.0,0.0,0.37130519272031043,False,7.29073405374932,4
ERY,input_model_15,4,4,4,3.3544247876606335,0.5641024652734139,2,1,2,10.0,10.0,0.5641024652734139,False,7.345192804698866,4
ERY,input_model_16,6,6,4,3.28749542278391,0.4794138435826273,4,4,2,10.0,40.0,0.4794138435826273,False,5.8136435313870365,4
ERY,input_model_17,5,5,4,3.24449808317953,0.8131979436214559,3,2,2,10.0,20.0,0.8131979436214559,False,7.404815962027685,4
ERY,input_model_18,3,3,2,3.523422636043965,0.486615799573593,2,1,1,80.0,80.0,1.0708704486064011,False,,2
ERY,input_model_19,4,4,4,3.3081934963437636,0.6773455652399774,2,0,2,0.0,0.0,0.6773455652399774,False,7.453852486124206,4
G0J,input_model_0,3,3,0,2.874502839674066,0.49162949074822304,3,3,0,70.0,110.0,2.2658667370892083,True,5.3173768526143865,0
G0J,input_model_1,3,3,0,2.922987748781632,0.5291570748216732,3,3,0,90.0,130.0,2.2277226203083185,True,5.2119709323746815,0
G0J,input_model_2,2,2,0,2.8686767533554507,0.6444274637926668,2,2,0,80.0,110.0,2.216927019414321,True,5.87418523017466,0
G0J,input_model_3,2,2,0,2.868937921761992,0.39643185411985066,2,2,0,70.0,110.0,2.2109578633992304,True,4.48228741020059,0
G0J,input_model_4,2,2,0,2.92167193792995,0.5720471561652544,2,2,0,70.0,100.0,2.2462173514850883,True,4.716524080383653,0
G0J,input_model_5,3,3,0,2.849135001432115,0.49630267526984956,3,3,0,80.0,120.0,2.212163062699407,True,4.779353631511005,0
G0J,input_model_6,3,3,0,2.8346892894765534,0.5807284561288898,3,3,0,90.0,140.0,2.2105943821531637,True,5.3171365552969565,0
G0J,input_model_7,2,2,0,2.8720112141374425,0.6828935618714942,2,2,0,70.0,100.0,2.2776328378175554,True,4.537025478082072,0
G0J,input_model_8,3,3,0,2.827453799402956,0.40528559065712616,3,3,0,80.0,120.0,2.2362446331227814,True,5.048258980876104,0
G0J,input_model_9,2,2,0,2.8360696300277053,0.46621642538458236,2,2,0,90.0,140.0,2.2321763484328576,True,6.057034772807566,0
G0J,input_model_10,3,3,0,2.857101280181124,0.5576408036928933,3,3,0,70.0,130.0,2.2077676329278506,True,4.440352869728698,0
G0J,input_model_11,3,3,0,2.8203567092049506,0.6453402020387868,3,3,0,90.0,140.0,2.228755657398681,True,5.426045378240889,0
G0J,input_model_12,3,3,0,2.8397096135570514,0.654638160431363,3,3,0,80.0,130.0,2.2073029382643186,True,5.499826812100201,0
G0J,input_model_13,2,2,0,2.7757608624272274,0.3280272606987008,2,2,0,100.0,160.0,2.2004449096791974,True,5.952752988029992,0
G0J,input_model_14,2,2,0,2.846578766076029,0.7298396239042094,2,2,0,90.0,130.0,2.205867166471445,True,5.928768596142036,0
G0J,input_model_15,2,2,0,2.7854715152666416,0.2907197710373971,2,2,0,60.0,100.0,2.218641637850107,True,4.244381177123884,0
G0J,input_model_16,3,3,0,2.870817561417239,0.2565834864558731,3,3,0,70.0,130.0,2.216962501313097,True,4.459350121443177,0
G0J,input_model_17,2,2,0,2.924197086138446,0.6036855464190725,2,2,0,70.0,110.0,2.2076990671360703,True,5.096334976363847,0
G0J,input_model_18,3,3,0,2.78203670598078,0.32199524450580363,3,3,0,60.0,110.0,2.215641542126555,True,4.1922324294146485,0
G0J,input_model_19,2,2,0,2.7829512065322604,0.6166172776372901,2,2,0,70.0,110.0,2.220541251014388,True,4.482330526459178,0
G0V,input_model_0,1,1,0,2.8471487024192736,0.8844031727014979,1,1,0,60.0,60.0,2.2772097370210123,True,,0
G0V,input_model_1,1,1,0,2.796664875664754,0.7629281790355572,1,1,0,70.0,70.0,2.2138452136211813,True,,0
G0V,input_model_2,1,1,0,2.827699861173931,0.8235105955679913,1,1,0,60.0,60.0,2.277971167877532,True,,0
G0V,input_model_3,3,3,0,2.858146768681995,0.872641534602253,3,3,0,70.0,100.0,2.2107787837564064,True,2.7807679999793593,0
G0V,input_model_4,1,1,0,2.907349230232947,0.9263127362030773,1,1,0,60.0,60.0,2.3418435774391,True,,0
G0V,input_model_5,1,1,0,2.846032924899485,0.8072287218246166,1,1,0,60.0,60.0,2.316123839606632,True,,0
G0V,input_model_6,1,1,0,2.8486810403542244,0.5824216948623855,1,1,0,80.0,80.0,2.274284097183474,True,,0
G0V,input_model_7,1,1,0,2.9355846530971212,0.784158316684209,1,1,0,70.0,70.0,2.270529685494045,True,,0
G0V,input_model_8,1,1,0,2.840693501107145,1.089837824833485,1,1,0,50.0,50.0,2.262911871807495,True,,0
G0V,input_model_9,1,1,0,2.8841979624618403,0.8720885713751051,1,1,0,70.0,70.0,2.215386429738889,True,,0
G0V,input_model_10,1,1,0,2.8512699090006417,0.9643822462193706,1,1,0,50.0,50.0,2.2533722137303536,True,,0
G0V,input_model_11,1,1,0,2.871790550876286,0.7128612493805365,1,1,0,70.0,70.0,2.2626385801562665,True,,0
G0V,input_model_12,1,1,0,2.8156628553472944,0.7629079152430118,1,1,0,70.0,70.0,2.2122554538730803,True,,0
G0V,input_model_13,1,1,0,2.8450065664374624,0.5744133530625092,1,1,0,70.0,70.0,2.2793994839004412,True,,0
G0V,input_model_14,1,1,0,2.883034480918065,0.8682618781975506,1,1,0,60.0,60.0,2.2274426528931333,True,,0
G0V,input_model_15,1,1,0,2.8293029204055524,0.5443506696707187,1,1,0,70.0,70.0,2.2823015538605755,True,,0
G0V,input_model_16,1,1,0,2.8016750184005312,0.8777322906128312,1,1,0,60.0,60.0,2.2164461336138905,True,,0
G0V,input_model_17,1,1,0,2.8719084002792417,0.8796442640675504,1,1,0,60.0,60.0,2.265214109432743,True,,0
G0V,input_model_18,1,1,0,2.8610389872578144,0.7152192137232105,1,1,0,60.0,60.0,2.2252125164074563,True,,0
G0V,input_model_19,0,0,0,2.921570919734019,2.6829716830770303,0,0,0,0.0,0.0,2.6829716830770303,True,,0
J9K,input_model_0,3,3,0,2.5759932201068736,0.9030074219118158,3,3,0,80.0,130.0,2.225991153548626,True,2.837600347229739,0
J9K,input_model_1,3,3,0,2.4785013509389304,0.8331192126970018,3,3,0,70.0,120.0,2.222251466974884,True,2.1266573524159886,0
J9K,input_model_2,3,3,0,2.474740863419985,0.9066155463439649,3,3,0,130.0,240.0,2.208529355729524,True,3.586136506780386,0
J9K,input_model_3,3,3,0,2.4878027410137125,1.2069789332806482,3,3,0,120.0,160.0,2.26313866375907,True,3.7785449318308193,0
J9K,input_model_4,3,3,0,2.5226519052527236,0.982269903675292,3,3,0,90.0,150.0,2.234946249871395,True,3.5438121188011174,0
J9K,input_model_5,3,3,0,2.520934501110041,1.6435331591460756,3,3,0,90.0,150.0,2.2459411026849634,True,4.234594715317212,0
J9K,input_model_6,3,3,0,2.497315971251771,1.1085861413802287,2,2,1,100.0,110.0,1.4684142006014163,False,8.039322807579103,0
J9K,input_model_7,3,3,0,2.5407404873240775,1.4052647245350351,2,2,1,80.0,90.0,1.6681708878216353,False,5.327081076439946,0
J9K,input_model_8,3,3,0,2.4872883390054845,1.335327435539036,2,2,1,30.0,40.0,1.3775595473989544,False,9.825890000089126,0
J9K,input_model_9,3,3,0,2.538843627747301,1.3158329075788286,2,2,1,90.0,100.0,1.3688488719681362,False,8.24446780811316,0
J9K,input_model_10,3,3,0,2.4894721286691373,0.824537569400289,3,3,0,130.0,190.0,2.2010120645932143,True,3.6192482755113766,0
J9K,input_model_11,3,3,0,2.499851805224212,0.5114895432817158,2,2,1,90.0,110.0,1.4179491773824673,False,6.927937902779178,0
J9K,input_model_12,3,3,0,2.5131617443403185,1.3453097337562179,2,2,1,140.0,150.0,1.4807478145298916,False,9.706981562864238,0
J9K,input_model_13,3,3,0,2.439482480667632,1.0871395364407228,3,3,0,110.0,150.0,2.2335530994946846,True,4.428026183126632,0
J9K,input_model_14,3,3,0,2.5308245755063288,0.45464574384422307,2,2,1,90.0,100.0,1.3371632677917995,False,5.838802649634904,0
J9K,input_model_15,3,3,0,2.4030524695737205,1.233573135499747,3,3,0,60.0,130.0,2.2058481385881015,True,3.9719025981755185,0
J9K,input_model_16,3,3,0,2.4734013177295204,0.6024308148578247,2,2,1,90.0,110.0,1.5787899634640503,False,6.037610350711846,0
J9K,input_model_17,3,3,0,2.493530370595923,0.981739568484992,2,2,1,130.0,140.0,1.2835721207751727,False,9.706396758651376,0
J9K,input_model_18,3,3,0,2.506373631769452,0.9826741197930736,2,2,1,50.0,60.0,1.4649762513970987,False,9.676248462440679,0
J9K,input_model_19,3,3,0,2.4490022344893876,0.5024884820192287,2,2,1,100.0,130.0,1.3316926319241766,False,6.008709821787225,0
KLN,input_model_0,2,1,1,2.477001698452174,1.3719427089357563,0,0,1,0.0,0.0,1.3719427089357563,False,,1
KLN,input_model_1,1,1,0,2.603215462170554,1.4163127349233484,1,1,0,100.0,100.0,2.205126652156648,True,,0
KLN,input_model_2,1,1,0,2.5387818824697215,0.538862195471082,0,0,1,0.0,0.0,0.538862195471082,False,,0
KLN,input_model_3,1,1,0,2.5714107997987714,1.0460814943611783,0,0,1,0.0,0.0,1.0460814943611783,False,,0
KLN,input_model_4,1,1,0,2.5376361322736276,1.4067121637095907,0,0,1,0.0,0.0,1.4067121637095907,False,,0
KLN,input_model_5,1,1,0,2.4374332686878644,1.8245569149357312,1,1,0,40.0,40.0,2.207604418463226,True,,0
KLN,input_model_6,2,1,0,2.6021852577700786,0.8143804813640029,0,0,1,0.0,0.0,0.8143804813640029,False,,0
KLN,input_model_7,2,1,0,2.574693148540001,1.6632659584536673,0,0,1,0.0,0.0,1.6632659584536673,False,,0
KLN,input_model_8,1,1,0,2.624677856809328,1.1951649025866573,0,0,1,0.0,0.0,1.1951649025866573,False,,0
KLN,input_model_9,1,1,0,2.4986068866583646,1.210116986932375,1,1,0,90.0,90.0,2.2305009502648137,True,,0
KLN,input_model_10,2,1,0,2.5292942660681894,1.2459629335457951,0,0,1,0.0,0.0,1.2459629335457951,False,,0
KLN,input_model_11,2,1,0,2.5771999317005703,1.5171345418240425,0,0,1,0.0,0.0,1.5171345418240425,False,,0
KLN,input_model_12,1,1,0,2.515601770793419,1.427193979776806,0,0,1,0.0,0.0,1.427193979776806,False,,0
KLN,input_model_13,1,1,0,2.5793382188876053,1.4700920484084754,0,0,1,0.0,0.0,1.4700920484084754,False,,0
KLN,input_model_14,1,1,0,2.5255204674127376,1.3379148404031522,0,0,1,0.0,0.0,1.3379148404031522,False,,0
KLN,input_model_15,1,1,0,2.417417228999827,0.855328552234156,1,1,0,80.0,80.0,2.2010230124702557,True,,0
KLN,input_model_16,1,1,0,2.491946292919264,0.3403703275258786,0,0,1,0.0,0.0,0.3403703275258786,False,,0
KLN,input_model_17,1,1,0,2.517922648109132,1.3248527340407357,1,1,0,110.0,110.0,2.2182808578537156,True,,0
KLN,input_model_18,0,0,0,2.561309381328374,2.3320435853433787,0,0,0,0.0,0.0,2.3320435853433787,True,,0
KLN,input_model_19,0,0,0,2.7821590592224723,2.7821590592224723,0,0,0,0.0,0.0,2.7821590592224723,True,,0
