ligand,sample,n_clashing,n_movable,n_backbone_clashing,heme_min,start_min,n_cleared,n_moved,n_uncleared,max_pert,sum_pert,final_min,solved,inter_sidechain_min,n_backbone
X6V,input_model_0,4,3,0,2.445296458080711,0.15480137207677125,3,3,0,100.0,200.0,1.918737666913869,False,7.548774069169134,0
X6V,input_model_1,3,3,0,2.5407273026854456,0.49092781931262097,3,3,0,80.0,170.0,2.2059709754661925,True,6.099941876341426,0
X6V,input_model_2,4,3,0,2.4939029257996292,0.43081517256205976,3,3,0,100.0,190.0,2.0506347544312202,False,7.260169425885288,0
X6V,input_model_3,4,3,0,2.4255326233757017,0.4939581323820122,3,3,0,100.0,190.0,2.1904221418822933,False,7.476851431918554,0
X6V,input_model_4,4,3,0,2.411423988467221,0.7012461456496547,3,3,0,90.0,180.0,2.199439010414842,False,7.625762205221432,0
X6V,input_model_5,4,3,0,2.519902237128249,0.5922941810165733,3,3,0,100.0,170.0,2.034133205996867,False,7.471367507544671,0
X6V,input_model_6,4,3,0,2.497053789672115,0.5445771525923883,3,3,0,100.0,180.0,1.9063915749714235,False,7.490151083416624,0
X6V,input_model_7,4,3,0,2.462230702820925,0.3802243762676868,3,3,0,80.0,170.0,2.096254331257053,False,6.0655527515294345,0
X6V,input_model_8,4,3,0,2.4722841159643076,0.4638909786938439,3,3,0,80.0,170.0,2.1791531666925072,False,6.029582215374722,0
X6V,input_model_9,4,3,0,2.459256364532922,0.4374262672525766,3,3,0,90.0,190.0,1.9152630347161888,False,7.389101897986837,0
X6V,input_model_10,3,2,0,2.5062295976475153,0.4293452626908367,2,2,0,90.0,160.0,2.04507575053168,False,12.205889285680206,0
X6V,input_model_11,4,3,0,2.427259477136378,0.6475345497588717,3,3,0,90.0,180.0,1.9395958605617543,False,7.757885101402062,0
X6V,input_model_12,4,3,0,2.517807180566438,0.40883642891235195,3,3,0,90.0,180.0,2.0550718733377376,False,7.525793226982095,0
X6V,input_model_13,4,3,0,2.4719398554313905,0.4375255192712187,3,3,0,80.0,170.0,2.089661958189007,False,5.973026204708994,0
X6V,input_model_14,2,2,0,2.595491680587897,0.5639972283486578,2,2,0,60.0,80.0,2.2431279502004555,True,11.572581737932511,0
X6V,input_model_15,4,3,0,2.460990419155444,0.6756379803492295,3,3,0,120.0,230.0,2.081271978319704,False,7.571843648921606,0
X6V,input_model_16,4,3,0,2.6312755489191275,0.6014998263505608,3,3,0,90.0,190.0,2.1130638258896064,False,5.694143889145217,0
X6V,input_model_17,4,3,0,2.500870993828995,0.36657575530620035,3,3,0,100.0,180.0,2.0782282504053087,False,7.445263811919602,0
X6V,input_model_18,4,3,0,2.470206997227792,0.26037110316222434,3,3,0,100.0,160.0,1.9141676787615325,False,7.435439304882221,0
X6V,input_model_19,4,3,0,2.6003236610613576,0.6276744385305854,3,3,0,90.0,170.0,1.956507169003811,False,5.873847524565748,0
X7P,input_model_0,1,1,0,2.592363427244452,0.6895056907434424,0,0,1,0.0,0.0,0.6895056907434424,False,,0
X7P,input_model_1,1,1,0,2.531381091111127,0.4055065001122538,0,0,1,0.0,0.0,0.4055065001122538,False,,0
X7P,input_model_2,1,1,0,2.548227164663564,0.6688455368211458,0,0,1,0.0,0.0,0.6688455368211458,False,,0
X7P,input_model_3,1,1,0,2.6196467842820272,0.8009511504108676,0,0,1,0.0,0.0,0.8009511504108676,False,,0
X7P,input_model_4,1,1,0,2.5741573403343456,0.8011996732107085,0,0,1,0.0,0.0,0.8011996732107085,False,,0
X7P,input_model_5,1,1,0,2.544641696756437,0.5631761635750921,0,0,1,0.0,0.0,0.5631761635750921,False,,0
X7P,input_model_6,1,1,0,2.5540652242248556,0.8022505071722973,0,0,1,0.0,0.0,0.8022505071722973,False,,0
X7P,input_model_7,1,1,0,2.6293731117472054,0.7786436888867867,0,0,1,0.0,0.0,0.7786436888867867,False,,0
X7P,input_model_8,1,1,0,2.531369722145657,0.7533160367135966,0,0,1,0.0,0.0,0.7533160367135966,False,,0
X7P,input_model_9,1,1,0,2.53728711910585,0.5858777455468728,0,0,1,0.0,0.0,0.5858777455468728,False,,0
