surv_mean_lddt,frac_surv_better_xeng,picks_rotated,pass_per_pose,frac_pose_improved,grid_min_rmsd,ligand,n_pose,n_grid,n_cand,n_pass,pass_rate,pass_clash,frac_pose_coord,orig_oracle,orig_mean,orig_sel,exp_oracle,exp_sel,null_oracle,null_sel,soft_oracle,soft_sel,narrow_oracle,narrow_sel,unfilt_oracle,orig_min_rmsd,exp_min_rmsd,null_min_rmsd,orig_sub2,exp_sub2,null_sub2,wl_sd_lddt_orig,wl_sd_lddt_exp,wl_rho_exp,wl_rho_orig,exp_sel_rank
0.1888989508152008,0.07133648474430597,True,116.35,0.8,0.8154079296762405,08J,20,1024,20480,2327,0.113623046875,0.113623046875,0.0,0.49722991689750695,0.28234072022160667,0.48060941828254844,0.49861496686935425,0.23822714388370514,0.49722991689750695,0.18144044280052185,0.49722991689750695,0.21121883392333984,0.49861496686935425,0.23822714388370514,0.49861496686935425,0.8154079296762405,0.8154079296762405,0.8154079296762405,True,True,True,0.15730195927793317,0.07404668286425127,-0.047391135951604484,-0.2685220197416502,0.8138048572645931
0.6138092875480652,0.0,False,1.0,0.0,1.9173951148986816,08Y,20,1024,20480,20,0.0009765625,0.0009765625,0.0,0.7524937655860349,0.703818578553616,0.7016832917705736,0.7524937655860349,0.7016832917705736,0.7524937655860349,0.7016832917705736,0.7524937655860349,0.7016832917705736,0.7524937655860349,0.7016832917705736,0.7524937655860349,2.072835085790532,2.072835085790532,2.072835085790532,False,False,False,0.01864321075692352,0.06139252060357593,-0.8073170731707318,-0.4917293233082706,0.75
0.31497377157211304,0.0,False,0.15,0.05,4.6890974044799805,1RD,20,1024,20480,3,0.000146484375,0.001025390625,1.0,0.4012875536480687,0.28258226037196,0.2446351931330472,0.4012875536480687,0.2446351931330472,0.4012875536480687,0.2446351931330472,0.4012875536480687,0.2446351931330472,0.4012875536480687,0.2446351931330472,0.4023605287075043,4.8891823257734,4.8891823257734,4.8891823257734,False,False,False,0.04431832717730061,0.04281542981321982,0.8601088544649172,0.8679955484085836,0.21739130434782608
0.6958631873130798,0.0,False,0.3,0.0,0.55680144916545,2QH,20,1024,20480,6,0.00029296875,0.002685546875,1.0,0.8982974910394265,0.7913530465949822,0.8324372759856631,0.8982974910394265,0.8324372759856631,0.8982974910394265,0.8324372759856631,0.8982974910394265,0.8324372759856631,0.8982974910394265,0.8324372759856631,0.8982974910394265,0.55680144916545,0.55680144916545,0.55680144916545,True,True,True,0.126199673116712,0.14262413349242978,-0.3026158361889252,0.20157955543630884,0.6153846153846154
0.17901639640331268,0.0,False,0.25,0.05,8.687220573425293,5AW,20,1024,20480,5,0.000244140625,0.001123046875,1.0,0.21639344262295082,0.18840163934426227,0.18934426229508194,0.21639344262295082,0.18934426229508194,0.21639344262295082,0.18934426229508194,0.21639344262295082,0.18934426229508194,0.21639344262295082,0.18934426229508194,0.2991803288459778,10.720375108076052,10.574019432067871,10.720375108076052,False,False,False,0.007910048413016471,0.008281787865505551,-0.10980559751494236,0.2859314855754358,0.76
0.6803308725357056,0.0,False,0.1,0.0,1.5699157279311282,6AW,20,1024,20480,2,9.765625e-05,0.00078125,1.0,0.8025735294117647,0.7594485294117647,0.7698529411764705,0.8025735294117647,0.7698529411764705,0.8025735294117647,0.7698529411764705,0.8025735294117647,0.7698529411764705,0.8025735294117647,0.7698529411764705,0.8025735294117647,1.5699157279311282,1.5699157279311282,1.5699157279311282,True,True,True,0.026946071631762637,0.038399525708972315,-0.30321852060982496,-0.13684210526315788,0.6818181818181818
,,False,0.0,0.0,1.437538504600525,7AW,20,1024,20480,0,0.0,0.00029296875,1.0,0.7503725782414308,0.6540238450074516,0.6080476900149031,0.7503725782414308,0.6080476900149031,0.7503725782414308,0.6080476900149031,0.7503725782414308,0.6080476900149031,0.7503725782414308,0.6080476900149031,0.7503725782414308,1.6351260485014343,1.6351260485014343,1.6351260485014343,True,True,True,0.055991506364662526,0.055991506364662526,0.4285714285714286,0.4285714285714286,0.25
0.4661673903465271,0.0,False,0.9,0.15,0.9939404290917077,80K,20,1024,20480,18,0.00087890625,0.014013671875,1.0,0.888623326959847,0.5433795411089866,0.6238049713193117,0.888623326959847,0.6238049713193117,0.888623326959847,0.6238049713193117,0.888623326959847,0.6238049713193117,0.888623326959847,0.6238049713193117,0.888623326959847,0.9939404290917077,0.9939404290917077,0.9939404290917077,True,True,True,0.10195872371438618,0.1189850127184987,-0.5867483731493982,-0.5220007890776058,0.8947368421052632
0.6411827802658081,0.0,False,0.25,0.0,1.3786273835049765,8AW,20,1024,20480,5,0.000244140625,0.0021484375,1.0,0.7881720430107526,0.7019623655913977,0.7096774193548387,0.7881720430107526,0.7096774193548387,0.7881720430107526,0.7096774193548387,0.7881720430107526,0.7096774193548387,0.7881720430107526,0.7096774193548387,0.7881720430107526,1.3786273835049765,1.3786273835049765,1.3786273835049765,True,True,True,0.07439533005973999,0.07210308488952816,-0.6292307692307691,-0.38646616541353385,0.48
0.8029412031173706,0.0,False,0.05,0.0,1.1544452623805468,A1A06,20,1024,20480,1,4.8828125e-05,0.00029296875,1.0,0.8794117647058823,0.8256372549019609,0.8534313725490197,0.8794117647058823,0.8534313725490197,0.8794117647058823,0.8534313725490197,0.8794117647058823,0.8534313725490197,0.8794117647058823,0.8534313725490197,0.8794117647058823,1.1544452623805468,1.1544452623805468,1.1544452623805468,True,True,True,0.09216782631906534,0.09007635540132776,-0.31124113133072584,-0.2024078827317199,0.38095238095238093
0.6136820912361145,0.0,False,0.1,0.0,1.468550205230713,A1A07,20,1024,20480,2,9.765625e-05,0.000390625,1.0,0.7791750503018109,0.6973340040241449,0.6750503018108651,0.7791750503018109,0.6750503018108651,0.7791750503018109,0.6750503018108651,0.7791750503018109,0.6750503018108651,0.7791750503018109,0.6750503018108651,0.7791750503018109,1.8103427150733629,1.8103427150733629,1.8103427150733629,True,True,True,0.07414956139992471,0.07507643999833848,-0.2830508926315738,-0.05718587021416622,0.2727272727272727
0.7387205362319946,0.0,False,0.45,0.0,0.9470878791270799,A1A08,20,1024,20480,9,0.000439453125,0.00302734375,1.0,0.9126262626262627,0.8295202020202022,0.8797979797979799,0.9126262626262627,0.8797979797979799,0.9126262626262627,0.8797979797979799,0.9126262626262627,0.8797979797979799,0.9126262626262627,0.8797979797979799,0.9126262626262627,0.9470878791270799,0.9470878791270799,0.9470878791270799,True,True,True,0.056285488300676485,0.06975667172682701,-0.9326271779079756,-0.8977443609022555,0.8275862068965517
0.41601479053497314,0.0,False,0.55,0.1,4.540143966674805,A1A4K,20,1024,20480,11,0.000537109375,0.003564453125,1.0,0.552906976744186,0.438546511627907,0.4087209302325581,0.552906976744186,0.4087209302325581,0.552906976744186,0.4087209302325581,0.552906976744186,0.4087209302325581,0.552906976744186,0.4087209302325581,0.552906976744186,5.5487020071205935,5.402902126312256,5.115640163421631,False,False,False,0.0460834579871572,0.04764166402478854,0.18548387096774197,0.49323308270676686,0.3225806451612903
0.6240510940551758,0.0,False,0.15,0.05,2.11102294921875,A1A4S,20,1024,20480,3,0.000146484375,0.001904296875,1.0,0.7903726708074534,0.6319875776397517,0.7903726708074534,0.7903726708074534,0.7903726708074534,0.7903726708074534,0.7903726708074534,0.7903726708074534,0.7903726708074534,0.7903726708074534,0.7903726708074534,0.7903726708074534,2.2870240646861735,2.2870240646861735,2.2870240646861735,False,False,False,0.0933795325924971,0.09236496789850707,-0.6557944356368406,-0.6385859797217396,1.0
0.46650639176368713,0.0,False,0.15,0.0,4.520578384399414,A1A4T,20,1024,20480,3,0.000146484375,0.000537109375,1.0,0.5317307692307693,0.5039423076923077,0.48461538461538456,0.5317307692307693,0.48461538461538456,0.5317307692307693,0.48461538461538456,0.5317307692307693,0.48461538461538456,0.5317307692307693,0.48461538461538456,0.5317307692307693,4.7913503634988315,4.70985746383667,4.7913503634988315,False,False,False,0.0183005803898005,0.02135408138332388,-0.5612648221343874,-0.34586466165413526,0.21739130434782608
0.6126834750175476,0.0,False,0.6,0.05,1.9534620215814331,A1A4U,20,1024,20480,12,0.0005859375,0.00302734375,1.0,0.8936058700209644,0.7515199161425578,0.8647798742138366,0.8936058700209644,0.8647798742138366,0.8936058700209644,0.8647798742138366,0.8936058700209644,0.8647798742138366,0.8936058700209644,0.8647798742138366,0.8936058700209644,1.9534620215814331,1.9534620215814331,1.9534620215814331,True,True,True,0.09298392607623406,0.13372510589123104,-0.9471175917332931,-0.9469726130384807,0.90625
0.5160654783248901,0.0,False,0.45,0.05,1.7247716402108242,A1A4V,20,1024,20480,9,0.000439453125,0.003173828125,1.0,0.7448694029850746,0.5420942164179104,0.5275186567164178,0.7448694029850746,0.5275186567164178,0.7448694029850746,0.5275186567164178,0.7448694029850746,0.5275186567164178,0.7448694029850746,0.5275186567164178,0.7448694029850746,1.7247716402108242,1.7247716402108242,1.7247716402108242,True,True,True,0.06535409996945656,0.06551217287884332,-0.2975105570611204,-0.1551791828999764,0.5862068965517241
,,False,0.0,0.0,1.7863230625052107,A1APA,20,1024,20480,0,0.0,4.8828125e-05,1.0,0.7385245901639345,0.6731762295081966,0.6266393442622951,0.7385245901639345,0.6266393442622951,0.7385245901639345,0.6266393442622951,0.7385245901639345,0.6266393442622951,0.7385245901639345,0.6266393442622951,0.7385245901639345,1.7863230625052107,1.7863230625052107,1.7863230625052107,True,True,True,0.04654039515822221,0.04654039515822221,0.595936963284469,0.595936963284469,0.25
0.5224999785423279,0.0,False,0.25,0.05,1.1542254420170965,A1ASO,20,1024,20480,5,0.000244140625,0.003515625,1.0,0.8379807692307693,0.6089182692307692,0.6206730769230769,0.8379807692307693,0.6206730769230769,0.8379807692307693,0.6206730769230769,0.8379807692307693,0.6206730769230769,0.8379807692307693,0.6206730769230769,0.8379807692307693,1.1542254420170965,1.1542254420170965,1.1542254420170965,True,True,True,0.12846622326714968,0.16175260452176385,-0.363076923076923,-0.33533834586466166,0.68
0.4952358901500702,0.0,False,0.95,0.25,1.1959095001220703,A1ASP,20,1024,20480,19,0.000927734375,0.01796875,1.0,0.8152709359605911,0.6294642857142857,0.8152709359605911,0.8152709359605911,0.8152709359605911,0.8152709359605911,0.8152709359605911,0.8152709359605911,0.8152709359605911,0.8152709359605911,0.8152709359605911,0.8152709359605911,1.7603994298135213,1.7603994298135213,1.7603994298135213,True,True,True,0.07186065460123518,0.1608417203104963,-0.8626954816453487,-0.8736842105263156,1.0
0.5270365476608276,0.0,False,1.05,0.15,1.556462049484253,A1ASQ,20,1024,20480,21,0.001025390625,0.010986328125,1.0,0.7443052391799544,0.6623291571753986,0.5973804100227791,0.7443052391799544,0.5973804100227791,0.7443052391799544,0.5973804100227791,0.7443052391799544,0.5973804100227791,0.7443052391799544,0.5973804100227791,0.7443052391799544,2.1468837286677616,2.1468837286677616,2.1468837286677616,False,False,False,0.06540042313531144,0.1417089969022582,-0.6893157374019725,-0.3142857142857143,0.36585365853658536
0.5535442233085632,0.0,False,1.0,0.3,1.761541485786438,A1ASR,20,1024,20480,20,0.0009765625,0.01630859375,1.0,0.8069620253164558,0.6812974683544304,0.7430379746835444,0.8069620253164558,0.7430379746835444,0.8069620253164558,0.7430379746835444,0.8069620253164558,0.7430379746835444,0.8069620253164558,0.7430379746835444,0.8189873695373535,2.2838529132497607,1.9326895475387573,2.2838529132497607,False,True,False,0.06685607989557395,0.14324897510480325,-0.8122332200876925,-0.5964648785857944,0.85
