inchikey_block,isoform,method,structure_path,confidence,predicted_affinity,completed,valid,invalid_reason,fe_min_dist,frac_proximal,max_clash,n_contacts,is_coordinated
NJTPBFZBPRMEJR,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\NJTPBFZBPRMEJR__rt5s0.cif,0.951,,True,True,,4.539,0.0,1.006,130,False
CNIIGCLFLJGOGP,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\CNIIGCLFLJGOGP__rt5s0.cif,0.9745,,True,True,,8.529,0.0,0.452,123,False
UIEGYIFDVIDYHB,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\UIEGYIFDVIDYHB__rt5s0.cif,0.9703,,True,True,,2.215,0.0,0.845,103,True
SEBMTIQKRHYNIT,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\SEBMTIQKRHYNIT__rt5s0.cif,0.9735,,True,True,,7.408,0.0,0.715,125,False
HIUVKVDQFXDZHU,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\HIUVKVDQFXDZHU__rt5s0.cif,0.9585,,True,True,,3.572,0.0,0.826,103,False
WTTPTXHWBCVSAE,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\WTTPTXHWBCVSAE__rt5s0.cif,0.9422,,True,True,,4.183,0.0,0.514,143,False
BRZANEXCSZCZCI,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\BRZANEXCSZCZCI__rt5s0.cif,0.9533,,True,True,,2.456,0.0,1.248,122,True
VYZSNRUMPKDNLT,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\VYZSNRUMPKDNLT__rt5s0.cif,0.9333,,True,True,,3.102,0.0,0.932,145,False
IROJCVZEMVZADB,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\IROJCVZEMVZADB__rt5s0.cif,0.9693,,True,True,,2.166,0.0,0.234,139,True
AGOOMVXOHLHTCM,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\AGOOMVXOHLHTCM__rt5s0.cif,0.9576,,True,True,,4.377,0.0,0.935,154,False
YCHNKCQNPQJYSD,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\YCHNKCQNPQJYSD__rt5s0.cif,0.9439,,True,True,,4.293,0.0,0.466,162,False
HQIRNZOQPUAHHV,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\HQIRNZOQPUAHHV__rt5s0.cif,0.9702,,True,True,,4.646,0.0,0.8,116,False
LZAPOHZTKRQZKM,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\LZAPOHZTKRQZKM__rt5s0.cif,0.9168,,True,True,,4.341,0.0,0.488,160,False
FQTOHOCJEYDRRG,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\FQTOHOCJEYDRRG__rt5s0.cif,0.9286,,True,True,,5.841,0.0,0.656,178,False
OCSVTGWIMRELRH,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\OCSVTGWIMRELRH__rt5s0.cif,0.9379,,True,True,,8.009,0.0,0.91,127,False
REYFJDPCWQRWAA,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\REYFJDPCWQRWAA__rt5s0.cif,0.9549,,True,True,,7.495,0.0,0.837,129,False
SMRUWTFDCWAZON,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\SMRUWTFDCWAZON__rt5s0.cif,0.9435,,True,True,,6.11,0.0,0.86,180,False
WPBCUTZPCFFBTO,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\WPBCUTZPCFFBTO__rt5s0.cif,0.9254,,True,True,,4.438,0.0,1.269,150,False
HUCPMSPYTPCDKA,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\HUCPMSPYTPCDKA__rt5s0.cif,0.9646,,True,True,,7.718,0.0,0.493,154,False
JGTLGAGKPNYMRY,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\JGTLGAGKPNYMRY__rt5s0.cif,0.9702,,True,True,,2.274,0.0,0.805,141,True
DMSGWBYWZFAVFS,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\DMSGWBYWZFAVFS__rt5s0.cif,0.9405,,True,True,,6.814,0.0,0.592,174,False
CRUWCZSXWRLWRA,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\CRUWCZSXWRLWRA__rt5s0.cif,0.97,,True,True,,2.196,0.0,0.524,108,True
HZCMYVGOGDKMPW,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\HZCMYVGOGDKMPW__rt5s0.cif,0.9701,,True,True,,6.804,0.0,0.804,167,False
JURKNVYFZMSNLP,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\JURKNVYFZMSNLP__rt5s0.cif,0.9527,,True,True,,6.068,0.0,0.737,128,False
XYCMOTOFHFTUIU,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\XYCMOTOFHFTUIU__rt5s0.cif,0.9759,,True,True,,5.683,0.0,0.67,104,False
KOGLKBKCAXGATQ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\KOGLKBKCAXGATQ__rt5s0.cif,0.9655,,True,True,,2.069,0.0,0.217,133,True
YLJREFDVOIBQDA,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\YLJREFDVOIBQDA__rt5s0.cif,0.9494,,True,True,,7.413,0.0,0.58,91,False
OSEWFKGKUJEEFD,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\OSEWFKGKUJEEFD__rt5s0.cif,0.9394,,True,True,,4.274,0.0,0.368,140,False
SLZARXHZTPOCTN,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\SLZARXHZTPOCTN__rt5s0.cif,0.9739,,True,True,,2.127,0.0,1.342,137,True
IHLDXAAKKIDUFM,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\IHLDXAAKKIDUFM__rt5s0.cif,0.9762,,True,True,,4.952,0.0,0.289,136,False
VAHWRSZAURKYGM,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\VAHWRSZAURKYGM__rt5s0.cif,0.9334,,True,True,,4.074,0.0,0.493,148,False
JLHUMJNCGJZPJK,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\JLHUMJNCGJZPJK__rt5s0.cif,0.9453,,True,True,,5.233,0.0,0.845,157,False
RRLUAXBCRMRKGJ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\RRLUAXBCRMRKGJ__rt5s0.cif,0.9281,,True,True,,5.547,0.0,0.557,172,False
CMRWALMKNZNEAF,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\CMRWALMKNZNEAF__rt5s0.cif,0.9675,,True,True,,2.299,0.0,0.076,136,True
OIJNGNQKPRJCLT,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\OIJNGNQKPRJCLT__rt5s0.cif,0.9546,,True,True,,2.186,0.0,0.551,134,True
POFHNBYWRJBGAM,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\POFHNBYWRJBGAM__rt5s0.cif,0.9436,,True,True,,7.69,0.0,0.37,183,False
BPSIMDRRYLTHLE,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\BPSIMDRRYLTHLE__rt5s0.cif,0.9367,,True,True,,5.551,0.0,1.066,239,False
AAFSKRHBWOQJCV,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\AAFSKRHBWOQJCV__rt5s0.cif,0.945,,True,True,,6.187,0.0,0.986,154,False
RKIRNVHTEYUZIG,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\RKIRNVHTEYUZIG__rt5s0.cif,0.954,,True,True,,3.818,0.0,0.452,157,False
LVHWZRNQJDKLTI,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\LVHWZRNQJDKLTI__rt5s0.cif,0.9276,,True,False,severe steric overlap (1.55 A into vdW),4.677,0.0,1.547,117,False
KJNTUBDFKPAUOJ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\KJNTUBDFKPAUOJ__rt5s0.cif,0.9508,,True,True,,3.809,0.0,0.394,136,False
CVTSUVYINOOTTN,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\CVTSUVYINOOTTN__rt5s0.cif,0.9586,,True,True,,4.822,0.0,0.697,173,False
VNRPFJXBODKBRZ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\VNRPFJXBODKBRZ__rt5s0.cif,0.9334,,True,True,,2.583,0.0,0.723,152,False
OVCDSSHSILBFBN,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\OVCDSSHSILBFBN__rt5s0.cif,0.9421,,True,True,,3.612,0.0,0.595,152,False
QUDSFKIXQFFIOI,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\QUDSFKIXQFFIOI__rt5s0.cif,0.9602,,True,True,,4.347,0.0,0.482,147,False
STKPDYXEWHQTCA,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\STKPDYXEWHQTCA__rt5s0.cif,0.9419,,True,True,,3.432,0.0,0.72,167,False
FJUHYDGFHVCIQR,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\FJUHYDGFHVCIQR__rt5s0.cif,0.9616,,True,True,,3.729,0.0,0.293,137,False
FRTQFAFJPFTPEO,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\FRTQFAFJPFTPEO__rt5s0.cif,0.9688,,True,True,,4.375,0.0,0.506,167,False
CPTSFZUKPHDTEW,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\CPTSFZUKPHDTEW__rt5s0.cif,0.9757,,True,True,,2.084,0.0,0.157,102,True
WAFLWFBYNRXLIA,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\WAFLWFBYNRXLIA__rt5s0.cif,0.9579,,True,True,,2.781,0.0,0.4,140,False
WEMDNGXFLHBHKC,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\WEMDNGXFLHBHKC__rt5s0.cif,0.9273,,True,True,,3.527,0.0,0.842,164,False
KSABBJQXOFJFMB,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\KSABBJQXOFJFMB__rt5s0.cif,0.9271,,True,True,,6.168,0.0,0.771,144,False
MCMWQUUFOTYOLS,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\MCMWQUUFOTYOLS__rt5s0.cif,0.976,,True,True,,1.964,0.0,1.142,155,True
LECNWKBRWUMOOE,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\LECNWKBRWUMOOE__rt5s0.cif,0.9771,,True,True,,2.26,0.0,0.399,118,True
OLLKSWQPCSWOKP,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\OLLKSWQPCSWOKP__rt5s0.cif,0.9366,,True,True,,4.182,0.0,0.848,210,False
KDWINTKNCFXETQ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\KDWINTKNCFXETQ__rt5s0.cif,0.9263,,True,True,,5.775,0.0,0.742,106,False
PJEMYXKINDARDB,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\PJEMYXKINDARDB__rt5s0.cif,0.9239,,True,True,,3.779,0.0,0.869,173,False
LEQOABJBJQUSIJ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\LEQOABJBJQUSIJ__rt5s0.cif,0.9605,,True,True,,2.086,0.0,0.623,186,True
YKJMLSDPNOJKOB,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\YKJMLSDPNOJKOB__rt5s0.cif,0.9337,,True,False,severe steric overlap (1.64 A into vdW),2.911,0.0,1.644,129,False
YCKQLOFLKFDRSW,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\YCKQLOFLKFDRSW__rt5s0.cif,0.973,,True,True,,4.314,0.0,0.605,143,False
QHBKNLPLROKUGS,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\QHBKNLPLROKUGS__rt5s0.cif,0.9655,,True,True,,3.317,0.0,0.758,207,False
SSMSBSWKLKKXGG,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\SSMSBSWKLKKXGG__rt5s0.cif,0.9642,,True,True,,11.039,0.0,0.746,100,False
LMBJRHSTZKEVBI,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\LMBJRHSTZKEVBI__rt5s0.cif,0.9744,,True,True,,4.559,0.0,0.461,162,False
RMUCZJUITONUFY,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\RMUCZJUITONUFY__rt5s0.cif,0.9793,,True,True,,2.075,0.0,0.136,48,True
RLGQACBPNDBWTB,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\RLGQACBPNDBWTB__rt5s0.cif,0.9164,,True,True,,6.232,0.0,0.473,108,False
DYSXHEQZHLDEEV,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\DYSXHEQZHLDEEV__rt5s0.cif,0.9461,,True,True,,3.482,0.0,0.666,147,False
CBRQOHPCDLQLPJ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\CBRQOHPCDLQLPJ__rt5s0.cif,0.9496,,True,True,,3.681,0.0,0.347,149,False
DUADTXCVWFPPIL,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\DUADTXCVWFPPIL__rt5s0.cif,0.9422,,True,True,,4.562,0.0,0.466,156,False
YDRIIVMAQGIRPU,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\YDRIIVMAQGIRPU__rt5s0.cif,0.9451,,True,True,,4.057,0.0,0.929,160,False
ABZDANIGSGUPSQ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\ABZDANIGSGUPSQ__rt5s0.cif,0.94,,True,True,,4.982,0.0,1.175,147,False
PQPGOORJZHZVIF,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\PQPGOORJZHZVIF__rt5s0.cif,0.9251,,True,True,,6.803,0.0,0.86,180,False
GRIDBZHPCALFNO,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\GRIDBZHPCALFNO__rt5s0.cif,0.9408,,True,True,,4.542,0.0,0.509,134,False
VTQXUFDARAXXEL,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\VTQXUFDARAXXEL__rt5s0.cif,0.948,,True,True,,6.835,0.0,1.167,143,False
FKTKOBGQSYLSJM,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\FKTKOBGQSYLSJM__rt5s0.cif,0.9563,,True,True,,6.052,0.0,0.508,140,False
JUDIGWCSUCRCTM,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\JUDIGWCSUCRCTM__rt5s0.cif,0.9477,,True,True,,7.099,0.0,0.909,173,False
GFMXIBGNFZXSSH,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\GFMXIBGNFZXSSH__rt5s0.cif,0.9329,,True,True,,4.68,0.0,0.131,153,False
YMJWYDKEGLKYSU,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\YMJWYDKEGLKYSU__rt5s0.cif,0.9272,,True,True,,7.122,0.0,1.093,178,False
XIQVNETUBQGFHX,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\XIQVNETUBQGFHX__rt5s0.cif,0.9495,,True,True,,3.984,0.0,0.905,141,False
ZQWNBUUGCZZBQG,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\ZQWNBUUGCZZBQG__rt5s0.cif,0.969,,True,True,,2.073,0.0,0.777,101,True
LZRKSMFOPBHIJC,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\LZRKSMFOPBHIJC__rt5s0.cif,0.9624,,True,True,,2.068,0.0,0.395,144,True
QNTOHWMVHLRHJK,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\QNTOHWMVHLRHJK__rt5s0.cif,0.9425,,True,True,,4.495,0.0,0.692,154,False
QUBDEYFKIBCNDL,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\QUBDEYFKIBCNDL__rt5s0.cif,0.9378,,True,True,,4.54,0.0,0.745,175,False
HOKIEOIBMAMYDU,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\HOKIEOIBMAMYDU__rt5s0.cif,0.9432,,True,True,,8.738,0.0,0.98,164,False
LJQLDSDTAXHWQQ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\LJQLDSDTAXHWQQ__rt5s0.cif,0.9635,,True,True,,2.042,0.0,0.63,132,True
QTSLUEVVUAILQN,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\QTSLUEVVUAILQN__rt5s0.cif,0.9421,,True,True,,5.077,0.0,0.697,170,False
PXEMWOAWSRNDKZ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\PXEMWOAWSRNDKZ__rt5s0.cif,0.9759,,True,True,,2.191,0.0,0.563,143,True
XGALLCVXEZPNRQ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\XGALLCVXEZPNRQ__rt5s0.cif,0.9111,,True,True,,5.905,0.0,1.196,156,False
LFMRMWJSYPUVLX,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\LFMRMWJSYPUVLX__rt5s0.cif,0.9745,,True,True,,2.247,0.0,0.318,164,True
NWLUCHZBIHVDPU,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\NWLUCHZBIHVDPU__rt5s0.cif,0.9551,,True,True,,2.219,0.0,1.335,119,True
RUVLBPWZPKTFQY,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\RUVLBPWZPKTFQY__rt5s0.cif,0.9422,,True,True,,5.383,0.0,0.806,175,False
GJSIXZKKNDJEAL,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\GJSIXZKKNDJEAL__rt5s0.cif,0.9574,,True,True,,4.196,0.0,0.258,202,False
IVLDPMHWGKSBBD,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\IVLDPMHWGKSBBD__rt5s0.cif,0.9593,,True,True,,4.795,0.0,0.849,147,False
QGVJVDSSUBWUGO,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\QGVJVDSSUBWUGO__rt5s0.cif,0.971,,True,True,,5.68,0.0,0.682,160,False
NUJZSEZNBAAEBL,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\NUJZSEZNBAAEBL__rt5s0.cif,0.9451,,True,True,,4.325,0.0,0.766,162,False
UXPCXNWXWKQOER,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\UXPCXNWXWKQOER__rt5s0.cif,0.9407,,True,True,,4.681,0.0,0.688,129,False
LTUCBBUWUBLJCT,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\LTUCBBUWUBLJCT__rt5s0.cif,0.9455,,True,True,,4.145,0.0,0.882,183,False
QVQOHIBPHPVPPB,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\QVQOHIBPHPVPPB__rt5s0.cif,0.9575,,True,False,severe steric overlap (1.76 A into vdW),4.399,0.0,1.756,192,False
ASFKKFRSMGBFRO,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\ASFKKFRSMGBFRO__rt5s0.cif,0.9305,,True,True,,3.736,0.0,0.518,134,False
GWDOIAFYMZHEGB,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\GWDOIAFYMZHEGB__rt5s0.cif,0.9723,,True,True,,2.094,0.0,1.074,145,True
HLRHRWSRSVLASR,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\HLRHRWSRSVLASR__rt5s0.cif,0.9147,,True,False,severe steric overlap (1.54 A into vdW),3.616,0.0,1.543,145,False
WCXXKBXIMXJSNI,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\WCXXKBXIMXJSNI__rt5s0.cif,0.9324,,True,True,,7.494,0.0,1.094,184,False
OLYONISXYQGNEZ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\OLYONISXYQGNEZ__rt5s0.cif,0.971,,True,True,,3.863,0.0,0.37,170,False
CIFMMEDLNIKOGG,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\CIFMMEDLNIKOGG__rt5s0.cif,0.934,,True,True,,4.714,0.0,0.798,177,False
UMIKRLLTVSCTOK,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\UMIKRLLTVSCTOK__rt5s0.cif,0.9511,,True,True,,7.647,0.0,0.544,147,False
MXOSBTWGOGZZER,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\MXOSBTWGOGZZER__rt5s0.cif,0.9403,,True,True,,6.788,0.0,0.671,145,False
PNZYMSWQEYPOPA,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\PNZYMSWQEYPOPA__rt5s0.cif,0.9503,,True,True,,6.215,0.0,0.456,159,False
GPKJTRJOBQGKQK,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\GPKJTRJOBQGKQK__rt5s0.cif,0.9792,,True,True,,4.339,0.0,0.7,161,False
ROQPQFXWBJCFRO,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\ROQPQFXWBJCFRO__rt5s0.cif,0.9434,,True,True,,6.628,0.0,0.641,170,False
BIJKXSIAIACXNV,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\BIJKXSIAIACXNV__rt5s0.cif,0.9609,,True,True,,8.388,0.0,0.74,143,False
NOCBHRIGICTARN,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\NOCBHRIGICTARN__rt5s0.cif,0.9744,,True,True,,2.144,0.0,0.232,185,True
GQMDVEHOCDKMQP,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\GQMDVEHOCDKMQP__rt5s0.cif,0.9194,,True,True,,8.08,0.0,0.942,139,False
PUUICPNYFPCHEE,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\PUUICPNYFPCHEE__rt5s0.cif,0.942,,True,True,,2.93,0.0,0.464,142,False
PZBMCIRQTJSXEM,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\PZBMCIRQTJSXEM__rt5s0.cif,0.9092,,True,False,severe steric overlap (1.72 A into vdW),4.528,0.0,1.716,209,False
QAROPJJFLVXWSM,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\QAROPJJFLVXWSM__rt5s0.cif,0.9694,,True,True,,4.629,0.0,0.496,163,False
NOKWLBSHOIIUFJ,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\NOKWLBSHOIIUFJ__rt5s0.cif,0.9203,,True,True,,4.264,0.0,0.887,174,False
ZMJICQIEQSJNIT,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\ZMJICQIEQSJNIT__rt5s0.cif,0.9499,,True,True,,2.414,0.0,0.473,128,True
LPRYCBITNRSRNR,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\LPRYCBITNRSRNR__rt5s0.cif,0.9266,,True,True,,7.22,0.0,0.727,126,False
BRWOHQLXDDQIIN,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\BRWOHQLXDDQIIN__rt5s0.cif,0.9729,,True,True,,2.242,0.0,0.597,136,True
OXQOIQHDEIKJRI,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\OXQOIQHDEIKJRI__rt5s0.cif,0.9676,,True,True,,2.263,0.0,0.523,128,True
UBAYQRWMNBZFGL,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\UBAYQRWMNBZFGL__rt5s0.cif,0.9519,,True,True,,5.162,0.0,0.296,137,False
XVEOZZDPTYFUNW,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\XVEOZZDPTYFUNW__rt5s0.cif,0.9545,,True,True,,5.246,0.0,0.89,140,False
OTSKWPLKWNHXNG,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\OTSKWPLKWNHXNG__rt5s0.cif,0.9413,,True,True,,5.928,0.0,0.813,178,False
YQKLTNOXGTYSOG,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\YQKLTNOXGTYSOG__rt5s0.cif,0.9673,,True,True,,2.146,0.0,0.32,134,True
ZGVBQHVFIPSHHN,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\ZGVBQHVFIPSHHN__rt5s0.cif,0.9606,,True,True,,2.197,0.0,0.35,148,True
SGKBXHPHSYQSKW,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\SGKBXHPHSYQSKW__rt5s0.cif,0.9309,,True,True,,4.63,0.0,1.022,147,False
ABUNSDMPQVALBH,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\ABUNSDMPQVALBH__rt5s0.cif,0.903,,True,True,,2.886,0.0,1.144,199,False
KQWVGAQCBXYSBL,CYP2D6,protenix_v2@openprotein,data\processed\t5_bakeoff\poses\CYP2D6\KQWVGAQCBXYSBL__rt5s0.cif,0.9541,,True,True,,3.459,0.0,0.812,135,False
