ligand,sample,rep,engine,ranking_score,ptm,iptm,plddt,gpde,has_clash,disorder
08J,0,0,protenix,0.9796454906463623,0.952072262763977,0.9865387678146362,92.46900939941406,0.3740483522415161,0.0,0.0
08J,1,0,protenix,0.979393482208252,0.9519789814949036,0.9862470626831055,92.46434020996094,0.3739487826824188,0.0,0.0
08J,2,0,protenix,0.9787290096282959,0.9518596529960632,0.9854463338851929,92.46481323242188,0.3751726448535919,0.0,0.0
08J,3,0,protenix,0.9795957803726196,0.9520344138145447,0.9864861369132996,92.48070526123047,0.37426531314849854,0.0,0.0
08J,4,0,protenix,0.9791042804718018,0.9520198106765747,0.9858754277229309,92.46460723876953,0.3745396137237549,0.0,0.0
08J,5,0,protenix,0.9786709547042847,0.9520055651664734,0.9853372573852539,92.47938537597656,0.3755786418914795,0.0,0.0
08J,6,0,protenix,0.9796245098114014,0.9521008133888245,0.9865054488182068,92.47036743164062,0.3738783001899719,0.0,0.0
08J,7,0,protenix,0.9796518683433533,0.9517752528190613,0.9866210222244263,92.4731216430664,0.373777836561203,0.0,0.0
08J,8,0,protenix,0.9794588088989258,0.9521285891532898,0.9862913489341736,92.46432495117188,0.3751111924648285,0.0,0.0
08J,9,0,protenix,0.979245662689209,0.9521984457969666,0.9860074520111084,92.47454833984375,0.37422457337379456,0.0,0.0
08J,10,0,protenix,0.9796670079231262,0.9522077441215515,0.9865317940711975,92.46415710449219,0.3747465908527374,0.0,0.0
08J,11,0,protenix,0.9797061085700989,0.9520837664604187,0.9866116642951965,92.47119140625,0.3747580349445343,0.0,0.0
08J,12,0,protenix,0.9797215461730957,0.9521457552909851,0.9866154789924622,92.47511291503906,0.37382644414901733,0.0,0.0
08J,13,0,protenix,0.9796981811523438,0.9522820115089417,0.9865522384643555,92.48001098632812,0.3735082149505615,0.0,0.0
08J,14,0,protenix,0.9796628952026367,0.9520652890205383,0.9865623116493225,92.4711685180664,0.3746969401836395,0.0,0.0
08J,15,0,protenix,0.9793369174003601,0.9521759152412415,0.9861271977424622,92.47891998291016,0.3755568265914917,0.0,0.0
08J,16,0,protenix,0.9790736436843872,0.952159583568573,0.985802173614502,92.47835540771484,0.37444302439689636,0.0,0.0
08J,17,0,protenix,0.9795509576797485,0.9520815014839172,0.9864183068275452,92.47120666503906,0.3748851418495178,0.0,0.0
08J,18,0,protenix,0.9787015914916992,0.9519283175468445,0.9853948950767517,92.46796417236328,0.37598517537117004,0.0,0.0
08J,19,0,protenix,0.979683518409729,0.9520444869995117,0.9865933060646057,92.4681625366211,0.3740103542804718,0.0,0.0
08Y,0,0,protenix,0.9721814393997192,0.9521175622940063,0.9771973490715027,92.33258819580078,0.3976404070854187,0.0,0.0
08Y,1,0,protenix,0.9718559980392456,0.951866626739502,0.9768533706665039,92.31957244873047,0.3982206881046295,0.0,0.0
08Y,2,0,protenix,0.9717631340026855,0.951771080493927,0.9767611026763916,92.3189468383789,0.39834633469581604,0.0,0.0
08Y,3,0,protenix,0.9721449017524719,0.9520372748374939,0.977171778678894,92.33478546142578,0.3976345658302307,0.0,0.0
08Y,4,0,protenix,0.9719330072402954,0.9519073963165283,0.9769393801689148,92.31903839111328,0.39809417724609375,0.0,0.0
08Y,5,0,protenix,0.9720788598060608,0.9520020484924316,0.9770980477333069,92.33456420898438,0.3978142738342285,0.0,0.0
08Y,6,0,protenix,0.9720731973648071,0.9517983198165894,0.9771419167518616,92.32292938232422,0.3979760706424713,0.0,0.0
08Y,7,0,protenix,0.9722578525543213,0.9519898891448975,0.9773248434066772,92.32617950439453,0.39785829186439514,0.0,0.0
08Y,8,0,protenix,0.9719784259796143,0.9518265724182129,0.9770163893699646,92.32821655273438,0.3980065882205963,0.0,0.0
08Y,9,0,protenix,0.9719972014427185,0.951968789100647,0.9770042896270752,92.33002471923828,0.3979284167289734,0.0,0.0
08Y,10,0,protenix,0.9720432162284851,0.951845645904541,0.9770925641059875,92.32556915283203,0.3979853689670563,0.0,0.0
08Y,11,0,protenix,0.9718165993690491,0.951655387878418,0.9768568277359009,92.32400512695312,0.3983122706413269,0.0,0.0
08Y,12,0,protenix,0.9719793796539307,0.9518916606903076,0.9770012497901917,92.33320617675781,0.3979405462741852,0.0,0.0
08Y,13,0,protenix,0.9717978239059448,0.9516247510910034,0.9768410325050354,92.32035827636719,0.39810651540756226,0.0,0.0
08Y,14,0,protenix,0.9720951914787292,0.9517905116081238,0.9771713614463806,92.32437133789062,0.3978784680366516,0.0,0.0
08Y,15,0,protenix,0.9718924760818481,0.9519486427307129,0.9768784046173096,92.32096099853516,0.39817309379577637,0.0,0.0
08Y,16,0,protenix,0.972048819065094,0.9518970847129822,0.9770867228507996,92.32624816894531,0.3979187607765198,0.0,0.0
08Y,17,0,protenix,0.9718721508979797,0.951786994934082,0.976893424987793,92.32120513916016,0.3982435166835785,0.0,0.0
08Y,18,0,protenix,0.9719622731208801,0.9518836736679077,0.9769818782806396,92.32975006103516,0.39800572395324707,0.0,0.0
08Y,19,0,protenix,0.9721405506134033,0.9519416093826294,0.9771902561187744,92.32465362548828,0.3978004455566406,0.0,0.0
1RD,0,0,protenix,0.9659419655799866,0.9509739279747009,0.9696839451789856,92.33424377441406,0.46014708280563354,0.0,0.0
1RD,1,0,protenix,0.9668319821357727,0.9510647058486938,0.9707737565040588,92.34119415283203,0.45318397879600525,0.0,0.0
1RD,2,0,protenix,0.9663828611373901,0.9510359168052673,0.970219612121582,92.34037780761719,0.46002358198165894,0.0,0.0
1RD,3,0,protenix,0.9658694863319397,0.9511206150054932,0.9695566892623901,92.34854888916016,0.45974963903427124,0.0,0.0
1RD,4,0,protenix,0.9670425653457642,0.9510911703109741,0.9710304141044617,92.33806610107422,0.453281968832016,0.0,0.0
1RD,5,0,protenix,0.9673649072647095,0.9511778354644775,0.9714117050170898,92.34879302978516,0.4527292251586914,0.0,0.0
1RD,6,0,protenix,0.9662554264068604,0.9510176777839661,0.9700648188591003,92.33065032958984,0.46070677042007446,0.0,0.0
1RD,7,0,protenix,0.9669025540351868,0.9510761499404907,0.9708591103553772,92.3560562133789,0.45179083943367004,0.0,0.0
1RD,8,0,protenix,0.9660969972610474,0.9511874318122864,0.9698243737220764,92.33916473388672,0.460150808095932,0.0,0.0
1RD,9,0,protenix,0.966509222984314,0.9511029720306396,0.9703607559204102,92.34300994873047,0.4595414102077484,0.0,0.0
1RD,10,0,protenix,0.9666608572006226,0.9510776400566101,0.9705566763877869,92.36001586914062,0.4548896849155426,0.0,0.0
1RD,11,0,protenix,0.9657326340675354,0.9510093331336975,0.9694134593009949,92.33885955810547,0.4614005982875824,0.0,0.0
1RD,12,0,protenix,0.9661213755607605,0.9511089324951172,0.9698744416236877,92.337158203125,0.4599870443344116,0.0,0.0
1RD,13,0,protenix,0.9656668305397034,0.9509464502334595,0.9693468809127808,92.34925079345703,0.4614981412887573,0.0,0.0
1RD,14,0,protenix,0.9674331545829773,0.9510439038276672,0.9715304374694824,92.34107208251953,0.4531843960285187,0.0,0.0
1RD,15,0,protenix,0.9661555886268616,0.9510262608528137,0.9699378609657288,92.33590698242188,0.4593546986579895,0.0,0.0
1RD,16,0,protenix,0.9659610986709595,0.9510999917984009,0.9696763753890991,92.33777618408203,0.4604801833629608,0.0,0.0
1RD,17,0,protenix,0.9671409130096436,0.9512962698936462,0.9711019992828369,92.35267639160156,0.4560799300670624,0.0,0.0
1RD,18,0,protenix,0.9671339988708496,0.9511671662330627,0.9711256623268127,92.3517837524414,0.45179611444473267,0.0,0.0
1RD,19,0,protenix,0.9657449722290039,0.9510780572891235,0.9694116115570068,92.34159851074219,0.4610705077648163,0.0,0.0
2QH,0,0,protenix,0.9746447205543518,0.9493359923362732,0.9809718728065491,91.65565490722656,0.3897739350795746,0.0,0.0
2QH,1,0,protenix,0.9745440483093262,0.9493468403816223,0.9808433055877686,91.65647888183594,0.38981765508651733,0.0,0.0
2QH,2,0,protenix,0.9745882153511047,0.949458658695221,0.9808705449104309,91.66958618164062,0.38966789841651917,0.0,0.0
2QH,3,0,protenix,0.9746043682098389,0.9494969844818115,0.9808812141418457,91.67249298095703,0.38979122042655945,0.0,0.0
2QH,4,0,protenix,0.9745297431945801,0.9492577910423279,0.9808477163314819,91.65790557861328,0.3898276388645172,0.0,0.0
2QH,5,0,protenix,0.9746849536895752,0.9493423700332642,0.9810205698013306,91.6610336303711,0.38949060440063477,0.0,0.0
2QH,6,0,protenix,0.9748048782348633,0.9496122002601624,0.9811030030250549,91.666748046875,0.38956427574157715,0.0,0.0
2QH,7,0,protenix,0.974510669708252,0.9493904709815979,0.9807906746864319,91.66141510009766,0.3900476098060608,0.0,0.0
2QH,8,0,protenix,0.9745451807975769,0.9494256377220154,0.9808250665664673,91.66607666015625,0.38968148827552795,0.0,0.0
2QH,9,0,protenix,0.9746899604797363,0.9495020508766174,0.9809869527816772,91.66522979736328,0.38931867480278015,0.0,0.0
2QH,10,0,protenix,0.9746586680412292,0.9493929147720337,0.9809750914573669,91.6533432006836,0.38977786898612976,0.0,0.0
2QH,11,0,protenix,0.9746462106704712,0.9494333267211914,0.9809494018554688,91.67571258544922,0.3895842134952545,0.0,0.0
2QH,12,0,protenix,0.9746493697166443,0.9493468999862671,0.9809749722480774,91.67144012451172,0.38962700963020325,0.0,0.0
2QH,13,0,protenix,0.9745345711708069,0.9495275020599365,0.9807863235473633,91.66249084472656,0.3898167610168457,0.0,0.0
2QH,14,0,protenix,0.9746186137199402,0.9493409991264343,0.9809380173683167,91.68266296386719,0.3894515037536621,0.0,0.0
2QH,15,0,protenix,0.974550724029541,0.9492753744125366,0.9808695316314697,91.6639175415039,0.38969147205352783,0.0,0.0
2QH,16,0,protenix,0.9745374321937561,0.9492701292037964,0.9808542728424072,91.66325378417969,0.3898266851902008,0.0,0.0
2QH,17,0,protenix,0.974682629108429,0.9495543241500854,0.9809646606445312,91.66022491455078,0.3896261155605316,0.0,0.0
2QH,18,0,protenix,0.9747517704963684,0.9495984315872192,0.9810400605201721,91.66405487060547,0.3893279433250427,0.0,0.0
2QH,19,0,protenix,0.9746317267417908,0.9494662284851074,0.980923056602478,91.66858673095703,0.3895208537578583,0.0,0.0
5AW,0,0,protenix,0.9674398899078369,0.9512420296669006,0.9714893102645874,92.4209213256836,0.4517550468444824,0.0,0.0
5AW,1,0,protenix,0.9665173292160034,0.9508870244026184,0.9704249501228333,92.39824676513672,0.4540974199771881,0.0,0.0
5AW,2,0,protenix,0.9670819640159607,0.9513102769851685,0.9710248708724976,92.42549896240234,0.45240074396133423,0.0,0.0
5AW,3,0,protenix,0.9687010049819946,0.9512795209884644,0.9730563163757324,92.4222412109375,0.44579675793647766,0.0,0.0
5AW,4,0,protenix,0.9671473503112793,0.951228141784668,0.9711271524429321,92.41668701171875,0.45238420367240906,0.0,0.0
5AW,5,0,protenix,0.9671415686607361,0.9513484239578247,0.9710898399353027,92.42901611328125,0.45208266377449036,0.0,0.0
5AW,6,0,protenix,0.9685035347938538,0.951204776763916,0.972828209400177,92.40314483642578,0.4492029845714569,0.0,0.0
5AW,7,0,protenix,0.9693508148193359,0.9515752792358398,0.9737946391105652,92.4297103881836,0.4422384798526764,0.0,0.0
5AW,8,0,protenix,0.9690319895744324,0.951551079750061,0.973402202129364,92.41903686523438,0.4437415301799774,0.0,0.0
5AW,9,0,protenix,0.9668995141983032,0.9510146379470825,0.9708706736564636,92.40664672851562,0.4532436728477478,0.0,0.0
5AW,10,0,protenix,0.9676300883293152,0.9511047005653381,0.9717614054679871,92.39459991455078,0.4573810398578644,0.0,0.0
5AW,11,0,protenix,0.9669980406761169,0.9512648582458496,0.970931351184845,92.41889953613281,0.4527866244316101,0.0,0.0
5AW,12,0,protenix,0.969479501247406,0.9515274167060852,0.9739675521850586,92.413818359375,0.44237980246543884,0.0,0.0
5AW,13,0,protenix,0.9678604006767273,0.9515213370323181,0.9719451665878296,92.41197967529297,0.4508891701698303,0.0,0.0
5AW,14,0,protenix,0.9685091376304626,0.9514822959899902,0.9727658033370972,92.41693115234375,0.4442785084247589,0.0,0.0
5AW,15,0,protenix,0.9669567346572876,0.9513848423957825,0.9708496928215027,92.42626190185547,0.4522247612476349,0.0,0.0
5AW,16,0,protenix,0.9681501388549805,0.9511415362358093,0.9724022746086121,92.4073486328125,0.45244520902633667,0.0,0.0
5AW,17,0,protenix,0.96721351146698,0.9513088464736938,0.9711896777153015,92.41764068603516,0.45301684737205505,0.0,0.0
5AW,18,0,protenix,0.9678075909614563,0.9513318538665771,0.9719265103340149,92.409912109375,0.451129674911499,0.0,0.0
5AW,19,0,protenix,0.9666313529014587,0.9511913657188416,0.9704912900924683,92.42146301269531,0.4526478350162506,0.0,0.0
6AW,0,0,protenix,0.9645013213157654,0.9487823247909546,0.9684310555458069,91.83987426757812,0.4397374987602234,0.0,0.0
6AW,1,0,protenix,0.9644069075584412,0.9486907720565796,0.9683359265327454,91.84187316894531,0.44042879343032837,0.0,0.0
6AW,2,0,protenix,0.9647871255874634,0.9489497542381287,0.9687464237213135,91.83952331542969,0.44002795219421387,0.0,0.0
6AW,3,0,protenix,0.9642325043678284,0.9487085342407227,0.9681134819984436,91.83565521240234,0.44014573097229004,0.0,0.0
6AW,4,0,protenix,0.9650660157203674,0.9488617181777954,0.9691170454025269,91.83609771728516,0.4404217004776001,0.0,0.0
