ligand,sample,rep,engine,ranking_score,ptm,iptm,plddt,gpde,has_clash,disorder
TPF,0,0,protenix_v2,0.947772741317749,0.9609803557395936,0.9444708228111268,94.2374267578125,0.6063168048858643,0.0,0.0
TPF,1,0,protenix_v2,0.9501286745071412,0.9612067937850952,0.9473590850830078,94.24842834472656,0.6026725769042969,0.0,0.0
TPF,2,0,protenix_v2,0.9512195587158204,0.961542546749115,0.9486387372016908,94.2441864013672,0.603643000125885,0.0,0.0
TPF,3,0,protenix_v2,0.948079228401184,0.9609305262565612,0.9448663592338562,94.2415008544922,0.6152844429016113,0.0,0.0
TPF,4,0,protenix_v2,0.9500579833984376,0.9611316323280334,0.9472895264625548,94.25041961669922,0.6028000712394714,0.0,0.0
G1D,0,0,protenix_v2,0.9548414945602416,0.9561508297920228,0.9545141458511353,93.2676239013672,0.5294808149337769,0.0,0.0
G1D,1,0,protenix_v2,0.955144703388214,0.9561418294906616,0.9548953771591188,93.2606964111328,0.5298346281051636,0.0,0.0
G1D,2,0,protenix_v2,0.9570763111114502,0.9562697410583496,0.9572779536247252,93.26273345947266,0.5279517769813538,0.0,0.0
G1D,3,0,protenix_v2,0.956973433494568,0.9560530185699464,0.9572035074234008,93.26744842529295,0.5281340479850769,0.0,0.0
G1D,4,0,protenix_v2,0.9565870761871338,0.9557425379753112,0.9567981958389282,93.2306671142578,0.5279750823974609,0.0,0.0
G0Y,0,0,protenix_v2,0.9631184935569764,0.9561073780059814,0.9648712873458862,92.9979476928711,0.503933310508728,0.0,0.0
G0Y,1,0,protenix_v2,0.9631960391998292,0.9559330344200134,0.9650117754936218,93.02835845947266,0.5034313201904297,0.0,0.0
G0Y,2,0,protenix_v2,0.9635740518569946,0.9560880064964294,0.9654455184936525,93.029541015625,0.5026318430900574,0.0,0.0
G0Y,3,0,protenix_v2,0.9637093544006348,0.9561221599578856,0.9656060934066772,92.9957275390625,0.503244936466217,0.0,0.0
G0Y,4,0,protenix_v2,0.9588541984558104,0.9553767442703248,0.9597234725952148,92.99676513671876,0.5130633115768433,0.0,0.0
X1O,0,0,protenix_v2,0.9174997806549072,0.9412474632263184,0.9115628004074096,92.51526641845705,0.7430780529975891,0.0,0.0
X1O,1,0,protenix_v2,0.9166078567504884,0.9408318400382996,0.9105518460273744,92.49213409423828,0.7572163939476013,0.0,0.0
X1O,2,0,protenix_v2,0.9175962209701538,0.941282331943512,0.9116746783256532,92.5101089477539,0.7469000816345215,0.0,0.0
X1O,3,0,protenix_v2,0.917113959789276,0.9409927129745485,0.9111442565917968,92.50550842285156,0.7477352023124695,0.0,0.0
X1O,4,0,protenix_v2,0.9168537855148317,0.9408078789711,0.910865306854248,92.51380920410156,0.7485893368721008,0.0,0.0
X4E,0,0,protenix_v2,0.90558660030365,0.932112753391266,0.8989550471305847,91.9225845336914,0.8294866681098938,0.0,0.0
X4E,1,0,protenix_v2,0.9052351713180542,0.9317644238471984,0.8986027836799622,91.92726135253906,0.8282703757286072,0.0,0.0
X4E,2,0,protenix_v2,0.904794454574585,0.9319661259651184,0.898001492023468,91.93765258789062,0.8205531239509583,0.0,0.0
X4E,3,0,protenix_v2,0.9051061868667604,0.932289183139801,0.8983103632926941,91.94731903076172,0.8206674456596375,0.0,0.0
X4E,4,0,protenix_v2,0.9057509899139404,0.9322731494903564,0.8991203904151917,91.91297149658205,0.8287453055381775,0.0,0.0
X2Q,0,0,protenix_v2,0.9094557762145996,0.9351275563240052,0.9030377864837646,92.31324768066406,0.8012501001358032,0.0,0.0
X2Q,1,0,protenix_v2,0.9115027785301208,0.9368720054626464,0.905160427093506,92.3439712524414,0.789110541343689,0.0,0.0
X2Q,2,0,protenix_v2,0.910182535648346,0.9357810020446776,0.9037829041481018,92.31302642822266,0.8045418858528137,0.0,0.0
X2Q,3,0,protenix_v2,0.9090242385864258,0.9349541664123536,0.9025416970252992,92.3005599975586,0.8035734295845032,0.0,0.0
X2Q,4,0,protenix_v2,0.9115155935287476,0.9363865256309508,0.9052978157997132,92.32157135009766,0.7971047163009644,0.0,0.0
WZN,0,0,protenix_v2,0.9114121794700624,0.9363230466842652,0.9051844477653505,91.85738372802734,0.8094666004180908,0.0,0.0
WZN,1,0,protenix_v2,0.9101415276527404,0.9350314140319824,0.9039190411567688,91.8384780883789,0.8201619982719421,0.0,0.0
WZN,2,0,protenix_v2,0.9101815223693848,0.9355950355529784,0.9038281440734864,91.8329620361328,0.8209459781646729,0.0,0.0
WZN,3,0,protenix_v2,0.9104472994804382,0.9353139400482178,0.9042305946350098,91.86843872070312,0.7958776950836182,0.0,0.0
WZN,4,0,protenix_v2,0.910704493522644,0.9354509711265564,0.9045178294181824,91.85546875,0.8109214305877686,0.0,0.0
X1I,0,0,protenix_v2,0.9175013303756714,0.9415290951728821,0.9114943742752075,92.4648666381836,0.7565576434135437,0.0,0.0
X1C,0,0,protenix_v2,0.9091441631317139,0.9348840713500977,0.9027091860771179,92.07007598876953,0.77329021692276,0.0,0.0
O3L,0,0,protenix_v2,0.9160088300704956,0.9387104511260986,0.9103333950042725,92.4627456665039,0.743374228477478,0.0,0.0
X0E,0,0,protenix_v2,0.9111485481262207,0.9371659755706787,0.9046441912651062,92.20285034179688,0.8154892921447754,0.0,0.0
X2B,0,0,protenix_v2,0.9085837602615356,0.9345418810844421,0.9020942449569702,91.99256134033203,0.852444589138031,0.0,0.0
O39,0,0,protenix_v2,0.9143762588500977,0.9364415407180786,0.9088598489761353,92.3016128540039,0.7449074983596802,0.0,0.0
X8S,0,0,protenix_v2,0.9168521761894226,0.9391947388648987,0.9112665057182312,92.10037231445312,0.7121736407279968,0.0,0.0
X1O,0,1,protenix_v2,0.9169223308563232,0.9415603876113892,0.9107627868652344,92.7881088256836,0.7706705331802368,0.0,0.0
X4E,0,1,protenix_v2,0.905246376991272,0.9319683313369751,0.8985658288002014,91.97053527832031,0.8001720905303955,0.0,0.0
X2Q,0,1,protenix_v2,0.9117674231529236,0.936740517616272,0.9055240750312805,91.94158935546875,0.7856361865997314,0.0,0.0
WZN,0,1,protenix_v2,0.9089041948318481,0.9358669519424438,0.9021634459495544,92.01387786865234,0.8266273140907288,0.0,0.0
X1I,0,1,protenix_v2,0.9175013303756714,0.9415290951728821,0.9114943742752075,92.4648666381836,0.7565576434135437,0.0,0.0
X1C,0,1,protenix_v2,0.9091441631317139,0.9348840713500977,0.9027091860771179,92.07007598876953,0.77329021692276,0.0,0.0
O3L,0,1,protenix_v2,0.9160088300704956,0.9387104511260986,0.9103333950042725,92.4627456665039,0.743374228477478,0.0,0.0
X0E,0,1,protenix_v2,0.9111485481262207,0.9371659755706787,0.9046441912651062,92.20285034179688,0.8154892921447754,0.0,0.0
